vodka.	900	in	soa	a.nic.vodka. admin.tldns.godaddy. 1757510620 1800 300 604800 1800
0.vodka.	3600	in	ns	dns1.registrar-servers.com.
0.vodka.	3600	in	ns	dns2.registrar-servers.com.
00.vodka.	172800	in	ns	ns3.epik.com.
00.vodka.	172800	in	ns	ns4.epik.com.
00.vodka.	3600	in	ds	51919 13 2 F513CE99B7CF80C3E29BA6C696230B2803BBA6DBA17C3A7A1AA0EDE5A5EB89A1
00.vodka.	3600	in	rrsig	DS 8 2 3600 20250920103944 20250906101001 38904 vodka. GqXP/jO6Sqki1mghE6KEqbSvVxJ5E+4HstUowZOPYuY1/ok/jJhaVS82Z8EvJZ9nS6FbnVO+J6eBmA5Z5tkkuojUjqtKM10ylJ0E+PW83ryIvGO1UqvFGJvWfDsdv+lV7T9SjdBa+/u65B6hG0Idba5iuwd7YfmlKTy1Go9Va4Kx4KYYXvZeRLpIVqfYT4I0rIfxBn4XJoiC6ERTSrd9vw==
007.vodka.	3600	in	ds	18487 13 2 0E80B2182A6BE0288BB84CF8A8EAA6C896792CF4C6820A8F9482E0FF05FECBEF
007.vodka.	3600	in	ns	ns3.epik.com.
007.vodka.	3600	in	ns	ns4.epik.com.
007.vodka.	3600	in	rrsig	DS 8 2 3600 20250920103944 20250906101001 38904 vodka. a68ROjv+Bk9pTGwa9UiqiuazGJFxcLoFn9sxqbBW+BL26E4U2OuiIf17/mKJBVLmCyt/lgSNgAZHnDp1oaNJ+fYfws0fC0BW4gOXWfKFYMaLof/D9Mk30ZNwDMpgLHH44yzHltRjQAjGjy+uDZlYe5WTAwBvSJkTu8GjxRQWXaIKe85s4SUC3he3y7HGlkkrnhfkckcshAwdiYdAYu64/w==
05m1lv7ne67t2e89da4227kej3l2g25s.vodka.	900	in	nsec3	1 1 0 - 0BS35MT4G6IT4QCQQJLL4OJ50538VIFD NS DS RRSIG
05m1lv7ne67t2e89da4227kej3l2g25s.vodka.	900	in	rrsig	NSEC3 8 2 900 20250922143237 20250908142057 38904 vodka. jzugdGxTBm0QgZK9Adu8rnfNiCANDRHecPgImK7cCkLoS/pRFFmzDJqvlgCJkIJ8VTCSdyw9Dyzm5AyPZNp74ZAsYVJLIUKodEhLhhNoFxkCvAdhWJcRc1Sk+qT0BjWjsVfdnrXeWvLsQYAH9kjqaDUgJoJraCvklycyYa/8sbtx5FCkPIAsUx8ZQFJQiTxxY7pK6hAeQ+Eq/GU5wtnu9w==
0bs35mt4g6it4qcqqjll4oj50538vifd.vodka.	900	in	nsec3	1 1 0 - 0H2JTF8NGA9QTPCQ0BG7CM63A83FGVD4 NS DS RRSIG
0bs35mt4g6it4qcqqjll4oj50538vifd.vodka.	900	in	rrsig	NSEC3 8 2 900 20250921041018 20250907033639 38904 vodka. ELmIXdXLc8iA9OLNJRp2c0Pk7J/AsoEubqh9aOeuEELs8+YdxJhX2Llcy8syJ/I6koxab6wAiuB+gKvTlh/ZXdmaZlZEDJI5Lgip7cbT1McxavRWfnEemPnAQREUkhsR9seG0Gi2OSv456hrlIewhxFbw3FWRrTJaHIWWZmP7jgk4iDN0bVxNIuKDZfocF0maz5ZGmfIOKQCV96uFlOs5g==
0h2jtf8nga9qtpcq0bg7cm63a83fgvd4.vodka.	900	in	nsec3	1 1 0 - 0OMMVIQ5LKD9KESLTSE2BJ6G4REHQH7A NS DS RRSIG
0h2jtf8nga9qtpcq0bg7cm63a83fgvd4.vodka.	900	in	rrsig	NSEC3 8 2 900 20250921041018 20250907033639 38904 vodka. F889311yh95mQcII++b4tAOXzXVO0WVQUC6khnwatlS8sbHDhTBR+H0knrQCw2VM9jpYP3w/FJ/of1vfimKGFNlKmuI++F48Q9mGs4v+hLeVpG013qrx3SZ1M7R5wOtBPcAWM8j/ErhhtnJqfZDNS32r/Q/zbPZmBqBJ2nZ5NzvjI6NJFDKr1AUcFRqZxqD2OSOwAwmOAgdFEWj92Oh8bA==
0ommviq5lkd9kesltse2bj6g4rehqh7a.vodka.	900	in	nsec3	1 1 0 - 0RPGV96DKMQHIB5LH653PL2ILUTSK5AE NS DS RRSIG
0ommviq5lkd9kesltse2bj6g4rehqh7a.vodka.	900	in	rrsig	NSEC3 8 2 900 20250922013027 20250908005212 38904 vodka. aHZS8cmhxd1wiogmgWbPWaL4DfzfXW4jYaUaVtWs18NrfRi772CIQUDRiKVWOdiA7LTsLY2Esf1cWxmG2dO4f1kDXmolPSOHfmfGbsmRfTXbNlexpxhhlFHztSg/aQRa9nUSqgsN38KhVOp45tdEv2ciNKUUe7WVvXb7/rQiCSJUTZnfC770DJ0arajnfluVRUGgW1DiUzCRIz0Fq/cH0A==
0rpgv96dkmqhib5lh653pl2ilutsk5ae.vodka.	900	in	nsec3	1 1 0 - 1I9MRCNV70HKO4R1D9RIBVQECS74GNOC NS DS RRSIG
0rpgv96dkmqhib5lh653pl2ilutsk5ae.vodka.	900	in	rrsig	NSEC3 8 2 900 20250922023059 20250908020711 38904 vodka. DGEBfUeWDqhsKQNgEiLlbJqdDHfU1Vu8A3iShL7LIacOCusp2wv5szxLR3jrD0Gmea1joqxWFScZBUkyHgBGF+26OwfBMEbOeKqKRumF9X2m4jQagxoTQHP32LHqEbch2LCO22ZJxIG3O9A1tc9Ip0QmtChDUbJ3tjq79VXivTtqOQfSHKHLxQrfAX2mBp/ahvThpXharf5+qroDKq+D/w==
1.vodka.	3600	in	ns	curitiba.ns.porkbun.com.
1.vodka.	3600	in	ns	fortaleza.ns.porkbun.com.
1.vodka.	3600	in	ns	maceio.ns.porkbun.com.
1.vodka.	3600	in	ns	salvador.ns.porkbun.com.
1001.vodka.	3600	in	ns	ns41.domaincontrol.com.
1001.vodka.	3600	in	ns	ns42.domaincontrol.com.
1111.vodka.	172800	in	ns	ns35.domaincontrol.com.
1111.vodka.	172800	in	ns	ns36.domaincontrol.com.
118.vodka.	172800	in	ns	dns1.registrar-servers.com.
118.vodka.	172800	in	ns	dns2.registrar-servers.com.
123.vodka.	172800	in	ns	ns.udag.de.
123.vodka.	172800	in	ns	ns.udag.net.
123.vodka.	172800	in	ns	ns.udag.org.
123b.vodka.	3600	in	ns	piper.ns.cloudflare.com.
123b.vodka.	3600	in	ns	yevgen.ns.cloudflare.com.
145.vodka.	172800	in	ns	ns1075.ui-dns.biz.
145.vodka.	172800	in	ns	ns1100.ui-dns.org.
145.vodka.	172800	in	ns	ns1115.ui-dns.com.
145.vodka.	172800	in	ns	ns1118.ui-dns.de.
1800.vodka.	172800	in	ns	dns1.name-services.com.
1800.vodka.	172800	in	ns	dns2.name-services.com.
1800.vodka.	172800	in	ns	dns3.name-services.com.
1800.vodka.	172800	in	ns	dns4.name-services.com.
1800.vodka.	172800	in	ns	dns5.name-services.com.
1828.vodka.	3600	in	ns	ns1.hosting.reg.ru.
1828.vodka.	3600	in	ns	ns2.hosting.reg.ru.
188bet.vodka.	3600	in	ns	aria.ns.cloudflare.com.
188bet.vodka.	3600	in	ns	cody.ns.cloudflare.com.
1bu.vodka.	3600	in	ns	teresa.ns.cloudflare.com.
1bu.vodka.	3600	in	ns	yew.ns.cloudflare.com.
1casino.vodka.	3600	in	ds	33856 13 2 623955095B854A521E9048321611C1172E7381965D455B86E00CD9D4B1FB3C57
1casino.vodka.	3600	in	ns	launch1.spaceship.net.
1casino.vodka.	3600	in	ns	launch2.spaceship.net.
1casino.vodka.	3600	in	rrsig	DS 8 2 3600 20250920103944 20250906101001 38904 vodka. TFk7+w+Omcy4uVS+qqKL3dcTQEfP6b13zMxWoWRRst5qD8zWLfdNkG7zcxh/3Ekcmt22MW+NSGB7C1HJ8yZCoyE1i3aEHwGjxnQRteEZj5oo2N+XYwch4t3oJt0Zw9ylA2oGY1Xqv3lVnQeQdvFC7lurc/kcHXWfnPNYZ3MBY9kqXam6DRKJSJs2oD4F9fARfR1jjjjvWHkFLnJTsEAmoQ==
1euro.vodka.	3600	in	ns	ns11.globehosting.net.
1euro.vodka.	3600	in	ns	ns12.globehosting.net.
1i9mrcnv70hko4r1d9ribvqecs74gnoc.vodka.	900	in	nsec3	1 1 0 - 2QHENV174VQDT4VMQCPE4N198BK0VV18 NS DS RRSIG
1i9mrcnv70hko4r1d9ribvqecs74gnoc.vodka.	900	in	rrsig	NSEC3 8 2 900 20250925004455 20250911003510 38904 vodka. Az39YdPH+iQQ1ijR4OVaCqn3UzjPy3AnQmRYyOpKRMJKusIi5emoFQ1QPAhUsBZyo03SsZ2pcTCdTj2h+RBRaBsIrPXAVO6F0MbmzbXDeGBWEC7wOnQpJtHceSYJUOZ9zkXU0TsPCsovfm8dmDhNwxRG0mu8YwhKnFKW7sLfwJkARXc7fdoE8ZyMYQqNUlk7c+0JXwSGRLRzJDK6rZMARA==
1tv.vodka.	3600	in	ns	ns3-l2.nic.ru.
1tv.vodka.	3600	in	ns	ns4-cloud.nic.ru.
1tv.vodka.	3600	in	ns	ns4-l2.nic.ru.
1tv.vodka.	3600	in	ns	ns8-cloud.nic.ru.
1tv.vodka.	3600	in	ns	ns8-l2.nic.ru.
1xbet.vodka.	3600	in	ns	penny.ns.cloudflare.com.
1xbet.vodka.	3600	in	ns	ridge.ns.cloudflare.com.
2025.vodka.	3600	in	ns	denver.ns.cloudflare.com.
2025.vodka.	3600	in	ns	hadlee.ns.cloudflare.com.
208.vodka.	172800	in	ns	ns31.domaincontrol.com.
208.vodka.	172800	in	ns	ns32.domaincontrol.com.
22bet.vodka.	3600	in	ns	cesar.ns.cloudflare.com.
22bet.vodka.	3600	in	ns	katja.ns.cloudflare.com.
23win.vodka.	3600	in	ns	brenna.ns.cloudflare.com.
23win.vodka.	3600	in	ns	ivan.ns.cloudflare.com.
24k.vodka.	172800	in	ns	ns61.domaincontrol.com.
24k.vodka.	172800	in	ns	ns62.domaincontrol.com.
26000.vodka.	172800	in	ns	ns37.domaincontrol.com.
26000.vodka.	172800	in	ns	ns38.domaincontrol.com.
2qhenv174vqdt4vmqcpe4n198bk0vv18.vodka.	900	in	nsec3	1 1 0 - 3GMSJFDKN7SELOPQB744032FE0GVEPTO NS DS RRSIG
2qhenv174vqdt4vmqcpe4n198bk0vv18.vodka.	900	in	rrsig	NSEC3 8 2 900 20250922114102 20250908110926 38904 vodka. JPU6CjTvt/exE+87fPq86gsvHtjvvLQE5YwixXuvyZqcUPhwencf1h5+zx20xEwUd8/TrnAgKIsLGKpGMa1nNufypM8DU33jyf4krH4/MyaZ/fsIpkfP4BV3I0dcW3CIkL89G64shYH+DwFky2AUC1sDvrFAkwOYkW3iCjIBm2mEKC5eeafH87dUN8pF3HMbINqNp1vzFriwdgj33KfApA==
30a.vodka.	3600	in	ns	ns37.domaincontrol.com.
30a.vodka.	3600	in	ns	ns38.domaincontrol.com.
33win.vodka.	3600	in	ns	aaron.ns.cloudflare.com.
33win.vodka.	3600	in	ns	ziggy.ns.cloudflare.com.
360.vodka.	3600	in	ns	ns1.afternic.com.
360.vodka.	3600	in	ns	ns2.afternic.com.
365.vodka.	3600	in	ns	ns3.afternic.com.
365.vodka.	3600	in	ns	ns4.afternic.com.
3gmsjfdkn7selopqb744032fe0gvepto.vodka.	900	in	nsec3	1 1 0 - 3KL7G5BN5HOLQIC7QV7KDAP5U6LPJ1FJ NS DS RRSIG
3gmsjfdkn7selopqb744032fe0gvepto.vodka.	900	in	rrsig	NSEC3 8 2 900 20250922010836 20250908004532 38904 vodka. E3M9VyXkpXUDQKaQ0dQULCvF2DiaQ/oV0C+e4RsSZWRpixjDiEUO8LRG4NXSe/lPQcd7T82uRHGHS8ov/3eP0J56XiAj60nkPDREzlT57m+/YwW+pAuzUOkveg355ilGX3xyzHyBQauqXneudMKJLHaTXmG10nffvYjiBl3iIOKtrfCndSMMFEWXebFtA57NpUDvocgQaGVnbhGuDUeI9w==
3kl7g5bn5holqic7qv7kdap5u6lpj1fj.vodka.	900	in	nsec3	1 1 0 - 41THLSH2GQ3G359RK2T9KJUIR650GG0A NS DS RRSIG
3kl7g5bn5holqic7qv7kdap5u6lpj1fj.vodka.	900	in	rrsig	NSEC3 8 2 900 20250922010836 20250908004532 38904 vodka. SSd2piAKxIL2nhsFfz5VL3a7It1VEGVBTgrnQWR8v4FDcNTHDTNj+HXgNQOjJ+0pGmlHx/gfUDKAUl+e8NSSPKoeUP9CbyiB8/1Xnjvsho7m592Ls/PUPhmJ7Tjn4ZgZn7R23v1I6Z9ROO71sIVN44JTtv98Fcvsf91M6TIHYrWsfcqaGSdoumYHgRAXpHAltVWL0zGxTCrexLjX1hx+Uw==
404.vodka.	3600	in	ns	ns1.gcorelabs.net.
404.vodka.	3600	in	ns	ns2.gcdn.services.
41thlsh2gq3g359rk2t9kjuir650gg0a.vodka.	900	in	nsec3	1 1 0 - 4DEFLDR6DVT8VSBI7GE55KJ58MPMOF0F TXT RRSIG
41thlsh2gq3g359rk2t9kjuir650gg0a.vodka.	900	in	rrsig	NSEC3 8 2 900 20250921193330 20250907193305 38904 vodka. KyxIAA/AhxL206Xz4U3JmuqfKmpc1X5boDlCeFH3Z9ojjsnUg7B2b7jH5u+BsGmJmOY+VOHGcPQTPUUy8ywQlk7CAaXO5XSjGeUFL5C9twMkytsI12RcCaYVP2HF+8RAc58Y9E25vCjPCjKCXc+I4WuFzJih4X/Zbu1cAT12axd3c4q8F5K+XlmrhlCtwdFs6RWn8rFLnhCOJ0nIwhzAPg==
42.vodka.	3600	in	ns	arushi.ns.cloudflare.com.
42.vodka.	3600	in	ns	lakas.ns.cloudflare.com.
444.vodka.	172800	in	ns	ns1.world4you.at.
444.vodka.	172800	in	ns	ns2.world4you.at.
44north.vodka.	3600	in	ns	ns07.domaincontrol.com.
44north.vodka.	3600	in	ns	ns08.domaincontrol.com.
4defldr6dvt8vsbi7ge55kj58mpmof0f.vodka.	900	in	nsec3	1 1 0 - 4HCBJ0VF5EJVO7PODK3GK3TRFAJ6R046 NS DS RRSIG
4defldr6dvt8vsbi7ge55kj58mpmof0f.vodka.	900	in	rrsig	NSEC3 8 2 900 20250921041018 20250907033639 38904 vodka. Pwlif5kN4B6IDxCNBhIL+n59UHZTSKQXd/ENzirXBUtcWM5dEvb8OZ/lDY965GPSgg5Zi/A2y1pAo5SH5vifcbMbjt6FGHSU+1MrCXybEqD0G10/tKbOo3YnHHVr+Kuo8XSvatxZkT1rIsI0MgzgqCl8iFsv3cDnybGhrOY0lCA6pz0ww/ybxS4usMem/xVsUMxyVX0/qkZGckZ0s2kvIg==
4hcbj0vf5ejvo7podk3gk3trfaj6r046.vodka.	900	in	nsec3	1 1 0 - 4OQKLONMKUE33Q5ILRSL1O091BRIDMR5 NS DS RRSIG
4hcbj0vf5ejvo7podk3gk3trfaj6r046.vodka.	900	in	rrsig	NSEC3 8 2 900 20250922205108 20250908203529 38904 vodka. OJ0zPG/XL5/kCSl+mk8ZAeUdjIxCdLcy4VXF8/IXSwEunDc3EiME4MQQROBeTFYqh85CMjHhXJuHSBI1ipcpdyGONoI9dcNX42DjVq77RCU6wmeoJCMzIYUqGc/wxi7KGB0MzbYWzHDCLGugIrOnaPLDBQ72lGU/biukN5sGzBsbHSXkNsddJ74tWz50s6BxEniQUUwFi9Ui6d90jta9Wg==
4oqklonmkue33q5ilrsl1o091bridmr5.vodka.	900	in	nsec3	1 1 0 - 4RVQ63C29O8TLD4T8IRJ0KLL9MN7JBBL NS DS RRSIG
4oqklonmkue33q5ilrsl1o091bridmr5.vodka.	900	in	rrsig	NSEC3 8 2 900 20250922205108 20250908203529 38904 vodka. g+sQL4Quo9fvMN1OUNA5wJ58scRXWoWJga+XKErN9aooeswzax25LWESjFwdWV9FK1SY64S6KG2O55ltYOR4ZTWx8NkucqjYUXDzSY2W5ZdulWQt/0DGlH0gEAmCKZxNw7VAYaGYdzkBhV0PAHjavqGuRPYc9DaY+JfOpUFwxLBOboLvPOpUcB4SLKaz+Nd8b0Tmdl34/i1WmBHwOPuVNQ==
4rvq63c29o8tld4t8irj0kll9mn7jbbl.vodka.	900	in	nsec3	1 1 0 - 5L7HUVRH7U6VD8A7IU8206L3V4HJ1RHB NS DS RRSIG
4rvq63c29o8tld4t8irj0kll9mn7jbbl.vodka.	900	in	rrsig	NSEC3 8 2 900 20250922110612 20250908102352 38904 vodka. fw+EOFY2TLSPedn/FGHj+Ilfr7YY67ZiQIDrGJreDkq4YwiF9JzyRb/AgdnZGgkS+x61bUA/OjAeCKKVu8WzCeDXn9oz9k+5LN3b+N7gDimgoRpj/XzawgafOpTk+YQVB5r6nhZFh3FLRoKnwYWulPdlEJe+of+KRyBwDRj5uKTqSfE6AQyobn6aqVUxb5SEAvJHtRUGFrBXXyMvCQ+R6A==
