vote.	3600	in	soa	a0.nic.vote. hostmaster.donuts.email. 1756257796 7200 900 1209600 3600
01772.vote.	3600	in	ns	ns03.domaincontrol.com.
01772.vote.	3600	in	ns	ns04.domaincontrol.com.
04nbk83o50gbb0rpq9s599a8ojr28moh.vote.	3600	in	nsec3	1 1 0 73 07R80UUFE5E9D7K9PQFFHP93P2EC4NIK NS DS RRSIG
04nbk83o50gbb0rpq9s599a8ojr28moh.vote.	3600	in	rrsig	NSEC3 8 2 3600 20250916151912 20250826141912 61944 vote. RY5MO3t6Y34L2veL2v2n3I/DpPZRWJjRqLJB+IWW7zQPoYe/aBrTJ72NwbvMEVTldHfmjiUdtcpDAMijSKJw2EMR+O52DFnKUEP9UFJgDieawLknZHPr1YncT1/wYKwcT/K5zbuLhW46w15bFZhResWxEad9r2RZoj6DxTbCeyE=
07r80uufe5e9d7k9pqffhp93p2ec4nik.vote.	3600	in	nsec3	1 1 0 73 0DDQVV705RUOLMOE9KFRLKERSAOTR0A9 NS DS RRSIG
07r80uufe5e9d7k9pqffhp93p2ec4nik.vote.	3600	in	rrsig	NSEC3 8 2 3600 20250916151912 20250826141912 61944 vote. bvGb5hRCObQKBM4TbM2giMAoGmDU0ZNkbq16gKWFDwtshFRlr3v+cEPPuRl/p1aYRKMYntfrv0zfVvrWH5/hcl+LUYaB3dMhB4ZFBwwUnf34JjI9mTdxdAVzZsLGrqtSJ1eFXPaj081Fxzu2AoIO/LZZHacZaSvyAJS0y5HS38Y=
0ddqvv705ruolmoe9kfrlkersaotr0a9.vote.	3600	in	nsec3	1 1 0 73 0DSIC57101NPJO3NHARCO0FLSKHUS2RH NS DS RRSIG
0ddqvv705ruolmoe9kfrlkersaotr0a9.vote.	3600	in	rrsig	NSEC3 8 2 3600 20250916151912 20250826141912 61944 vote. LprI7RaGKCOUUvOdbJ4uYhobx9erj1sk4AthXxu2OFZEbnHckExaW4ATN6jzhZ/8KuFUz0l+kVDavDgJouC6uiQZd9vUh9Ifx4QQ5T33EYYgOFvsY3/Ve3WPSmVEDEBp5SlNfsz2tRtsLd8FJHsIZjOYA66DZhGK59LW2WK4y/Y=
0dsic57101npjo3nharco0flskhus2rh.vote.	3600	in	nsec3	1 1 0 73 0IOQI5CULSJPD0IDQ7AA9M70J7L23BUP NS DS RRSIG
0dsic57101npjo3nharco0flskhus2rh.vote.	3600	in	rrsig	NSEC3 8 2 3600 20250916151912 20250826141912 61944 vote. kXijy9MKzlkbEEA5Q40HPS2WbbQe3dghs0rkq6hpkGAxcRbjck/9l9gbGnvdpZGjesWQdnCbsznGT+nbaFFeD/XgLWwUwrj7y9suAQqYcbwSv+ivq0kLBqTqNfCQgTm4XHl+5Scw+zewMt1ba3itgDa5qf+B7ihx/ge0RYhWEik=
