voto.	3600	in	soa	a0.nic.voto. hostmaster.donuts.email. 1767662436 7200 900 1209600 3600
0nkv5l15oog6rn1ptkosruijaeeuk39g.voto.	3600	in	nsec3	1 1 0 73 4ABGPD6LF1TQOBVIQU45O0ADT75LAC0P NS DS RRSIG
0nkv5l15oog6rn1ptkosruijaeeuk39g.voto.	3600	in	rrsig	NSEC3 8 2 3600 20260122161103 20260101151103 19860 voto. aIZ6m02CfzfkpQnUfgkRGmy07rmo6RS/AtCZSXt6kZkLIUpzmgx+XQ+7C5pncHrYIMbI/Yd+CkScSby/bdhYAXmaq4IejncBPgPhVjlvc1iRTBa1pjAQqw6uVVRd2Ru7efxrIq1cPGvRMrEfvBrsv+3AlUBigoCf4cgqJ1i7kOM=
111.voto.	3600	in	ns	pdns11.domaincontrol.com.
111.voto.	3600	in	ns	pdns12.domaincontrol.com.
11145.voto.	3600	in	ns	ns7.alidns.com.
11145.voto.	3600	in	ns	ns8.alidns.com.
1131gg.voto.	3600	in	ns	hayes.ns.cloudflare.com.
1131gg.voto.	3600	in	ns	meiling.ns.cloudflare.com.
1131sport.voto.	3600	in	ns	leanna.ns.cloudflare.com.
1131sport.voto.	3600	in	ns	lennox.ns.cloudflare.com.
11bet.voto.	3600	in	ns	curitiba.ns.porkbun.com.
11bet.voto.	3600	in	ns	fortaleza.ns.porkbun.com.
11bet.voto.	3600	in	ns	maceio.ns.porkbun.com.
11bet.voto.	3600	in	ns	salvador.ns.porkbun.com.
123.voto.	3600	in	ns	ns1.cnolnic.net.
123.voto.	3600	in	ns	ns2.cnolnic.net.
123b.voto.	3600	in	ns	hera.ns.cloudflare.com.
123b.voto.	3600	in	ns	langston.ns.cloudflare.com.
123movies.voto.	3600	in	ns	dimitris.ns.cloudflare.com.
123movies.voto.	3600	in	ns	iris.ns.cloudflare.com.
125.voto.	3600	in	ns	dns1.registrar-servers.com.
125.voto.	3600	in	ns	dns2.registrar-servers.com.
12bet.voto.	3600	in	ns	ns1.dyna-ns.net.
12bet.voto.	3600	in	ns	ns2.dyna-ns.net.
13newyork.voto.	3600	in	ns	ns.myhosting.com.
13newyork.voto.	3600	in	ns	ns1.myhosting.com.
13newyork.voto.	3600	in	ns	ns2.myhosting.com.
13ny.voto.	3600	in	ns	ns.myhosting.com.
13ny.voto.	3600	in	ns	ns1.myhosting.com.
13ny.voto.	3600	in	ns	ns2.myhosting.com.
16689.voto.	3600	in	ns	ns7.alidns.com.
16689.voto.	3600	in	ns	ns8.alidns.com.
188bet.voto.	3600	in	ns	ganz.ns.cloudflare.com.
188bet.voto.	3600	in	ns	marissa.ns.cloudflare.com.
18win.voto.	3600	in	ns	fatima.ns.cloudflare.com.
18win.voto.	3600	in	ns	fred.ns.cloudflare.com.
19967.voto.	3600	in	ns	ns7.alidns.com.
19967.voto.	3600	in	ns	ns8.alidns.com.
222.voto.	3600	in	ns	pdns11.domaincontrol.com.
222.voto.	3600	in	ns	pdns12.domaincontrol.com.
23153.voto.	3600	in	ns	ns7.alidns.com.
23153.voto.	3600	in	ns	ns8.alidns.com.
23win.voto.	3600	in	ns	cody.ns.cloudflare.com.
23win.voto.	3600	in	ns	maria.ns.cloudflare.com.
247.voto.	3600	in	ns	curitiba.ns.porkbun.com.
247.voto.	3600	in	ns	fortaleza.ns.porkbun.com.
247.voto.	3600	in	ns	maceio.ns.porkbun.com.
247.voto.	3600	in	ns	salvador.ns.porkbun.com.
25432.voto.	3600	in	ns	ns7.alidns.com.
25432.voto.	3600	in	ns	ns8.alidns.com.
27374.voto.	3600	in	ns	ns7.alidns.com.
27374.voto.	3600	in	ns	ns8.alidns.com.
30346.voto.	3600	in	ns	ns7.alidns.com.
30346.voto.	3600	in	ns	ns8.alidns.com.
30717.voto.	3600	in	ns	ns7.alidns.com.
30717.voto.	3600	in	ns	ns8.alidns.com.
31365.voto.	3600	in	ns	ns7.alidns.com.
31365.voto.	3600	in	ns	ns8.alidns.com.
33100.voto.	3600	in	ns	ns7.alidns.com.
33100.voto.	3600	in	ns	ns8.alidns.com.
332.voto.	3600	in	ns	ns.myhosting.com.
332.voto.	3600	in	ns	ns1.myhosting.com.
332.voto.	3600	in	ns	ns2.myhosting.com.
333.voto.	3600	in	ns	pdns01.domaincontrol.com.
333.voto.	3600	in	ns	pdns02.domaincontrol.com.
33win.voto.	3600	in	ns	liv.ns.cloudflare.com.
33win.voto.	3600	in	ns	oswald.ns.cloudflare.com.
345.voto.	3600	in	ns	pdns11.domaincontrol.com.
345.voto.	3600	in	ns	pdns12.domaincontrol.com.
34924.voto.	3600	in	ns	ns7.alidns.com.
34924.voto.	3600	in	ns	ns8.alidns.com.
360.voto.	3600	in	ns	ns1.afternic.com.
360.voto.	3600	in	ns	ns2.afternic.com.
388bet.voto.	3600	in	ns	curitiba.ns.porkbun.com.
388bet.voto.	3600	in	ns	fortaleza.ns.porkbun.com.
388bet.voto.	3600	in	ns	maceio.ns.porkbun.com.
388bet.voto.	3600	in	ns	salvador.ns.porkbun.com.
38997.voto.	3600	in	ns	ns7.alidns.com.
38997.voto.	3600	in	ns	ns8.alidns.com.
40192.voto.	3600	in	ns	ns7.alidns.com.
40192.voto.	3600	in	ns	ns8.alidns.com.
42773.voto.	3600	in	ns	ns7.alidns.com.
42773.voto.	3600	in	ns	ns8.alidns.com.
444.voto.	3600	in	ns	pdns11.domaincontrol.com.
444.voto.	3600	in	ns	pdns12.domaincontrol.com.
45678.voto.	3600	in	ns	dns1.registrar-servers.com.
45678.voto.	3600	in	ns	dns2.registrar-servers.com.
45999.voto.	3600	in	ns	ns7.alidns.com.
45999.voto.	3600	in	ns	ns8.alidns.com.
46652.voto.	3600	in	ns	ns7.alidns.com.
46652.voto.	3600	in	ns	ns8.alidns.com.
4abgpd6lf1tqobviqu45o0adt75lac0p.voto.	3600	in	nsec3	1 1 0 73 556G9UKBMAKP9MQHKAFI5BHEL27AK9NS NS DS RRSIG
4abgpd6lf1tqobviqu45o0adt75lac0p.voto.	3600	in	rrsig	NSEC3 8 2 3600 20260122161103 20260101151103 19860 voto. SmnuW3pWdSNpj5Qef2eI/ERq+N7M2zKIqROheVRBx5JvqO+T3R4QM43WTMfzvCkynn6uAeBxC6569UFFD2j73GWT1B6clkS8KKKCfzNw3ndyilT7uRGDHZKwl769jqKbPR+8f0TBsMVVRAJiCPvRIWTFa5d0zDwARBi6BZg0mqA=
500.voto.	3600	in	ns	ns1.dns-redirect.com.
500.voto.	3600	in	ns	ns2.dns-redirect.com.
51753.voto.	3600	in	ns	ns7.alidns.com.
51753.voto.	3600	in	ns	ns8.alidns.com.
520.voto.	3600	in	ns	ns5.resellerclub.com.
520.voto.	3600	in	ns	ns6.resellerclub.com.
520.voto.	3600	in	ns	ns7.resellerclub.com.
520.voto.	3600	in	ns	ns8.resellerclub.com.
53751.voto.	3600	in	ns	ns7.alidns.com.
53751.voto.	3600	in	ns	ns8.alidns.com.
555.voto.	3600	in	ns	pdns11.domaincontrol.com.
555.voto.	3600	in	ns	pdns12.domaincontrol.com.
