wedding.	900	in	soa	a.nic.wedding. admin.tldns.godaddy. 1769300373 1800 300 604800 1800
0.wedding.	3600	in	ns	ns3.afternic.com.
0.wedding.	3600	in	ns	ns4.afternic.com.
01028.wedding.	3600	in	ns	n1.xundns.com.
01028.wedding.	3600	in	ns	n2.xundns.com.
0109test001.wedding.	3600	in	ns	ns7.alidns.com.
0109test001.wedding.	3600	in	ns	ns8.alidns.com.
01776.wedding.	3600	in	ns	ns65.domaincontrol.com.
01776.wedding.	3600	in	ns	ns66.domaincontrol.com.
02.wedding.	3600	in	ns	alice.ns.cloudflare.com.
02.wedding.	3600	in	ns	marvin.ns.cloudflare.com.
02042022.wedding.	3600	in	ns	ns1022.ui-dns.biz.
02042022.wedding.	3600	in	ns	ns1025.ui-dns.de.
02042022.wedding.	3600	in	ns	ns1047.ui-dns.org.
02042022.wedding.	3600	in	ns	ns1098.ui-dns.com.
02262026.wedding.	3600	in	ns	ns25.domaincontrol.com.
02262026.wedding.	3600	in	ns	ns26.domaincontrol.com.
02777.wedding.	3600	in	ns	n1.xundns.com.
02777.wedding.	3600	in	ns	n2.xundns.com.
0292nihhng2hdfqlv5fs9gr015o31li0.wedding.	900	in	nsec3	1 1 0 - 0388IRLQ1MNGHMALJDD3JLQGDES4URCS NS DS RRSIG
0292nihhng2hdfqlv5fs9gr015o31li0.wedding.	900	in	rrsig	NSEC3 8 2 900 20260202182858 20260119180404 54063 wedding. UGRnIYGC9JnuMtiM+HAw/b81QLfoHqiX+FWpl5xPdlQKe6hPypg3SjaUmZWu48n18II5cc4ew6bvKv6BGrEvnjBS0VkFA+D8MAYp9S9S9Z1xoaLz6LsgFtW1cEBoTDeDj32F2nupX0LiXqv8HG+pt5cX80uTYhS3VV36k7nuPU8y3H4TX7epGD+rAPRimADD1xq3koVKe1Kj81KkMHlTmA==
02941.wedding.	3600	in	ns	ns1.dnsip.com.
02941.wedding.	3600	in	ns	ns2.dnsip.com.
03197.wedding.	3600	in	ns	ns1.dnsip.com.
03197.wedding.	3600	in	ns	ns2.dnsip.com.
03811.wedding.	3600	in	ns	n1.xundns.com.
03811.wedding.	3600	in	ns	n2.xundns.com.
0388irlq1mnghmaljdd3jlqgdes4urcs.wedding.	900	in	nsec3	1 1 0 - 03G68NT3EJQSGSFNLVOH7K2RMI8CSBIL NS DS RRSIG
0388irlq1mnghmaljdd3jlqgdes4urcs.wedding.	900	in	rrsig	NSEC3 8 2 900 20260204222313 20260121221528 54063 wedding. QaEECepY9bIivr33Y14vWwBOPX80FRGTdz9m2bbujsRXghWTanK4R6O/urngDdbJW/eF49f54IbB1MY9BB0xZDVKtup3OgoyK+HJDG6k5I6nU7GY6anDj5zAZavT6QOgGrRKZabFyObNiaU2q6kGHEGpF4rZevS2/v5/l6HqRUPUxhG62yfUvov7COsc9mjBcerNcTDlYm0AxIn3GQlICg==
03g68nt3ejqsgsfnlvoh7k2rmi8csbil.wedding.	900	in	nsec3	1 1 0 - 03OHC5FAR3LRTI76O9PIHG3T5IQD2QL7 NS DS RRSIG
