weir.	3600	in	soa	a0.nic.weir. hostmaster.donuts.email. 1756257848 7200 900 1209600 3600
150timeline.weir.	3600	in	ns	ns-1382.awsdns-44.org.
150timeline.weir.	3600	in	ns	ns-149.awsdns-18.com.
150timeline.weir.	3600	in	ns	ns-1925.awsdns-48.co.uk.
150timeline.weir.	3600	in	ns	ns-947.awsdns-54.net.
a0.nic.weir.	3600	in	a	65.22.112.75
a0.nic.weir.	3600	in	aaaa	2a01:8840:006e:0000:0000:0000:0000:0075
a2.nic.weir.	3600	in	a	65.22.115.75
a2.nic.weir.	3600	in	aaaa	2a01:8840:0071:0000:0000:0000:0000:0075
accumin.weir.	3600	in	ns	dns1.cscdns.net.
accumin.weir.	3600	in	ns	dns2.cscdns.net.
aerospace.weir.	3600	in	ns	dns1.cscdns.net.
aerospace.weir.	3600	in	ns	dns2.cscdns.net.
aggregates.weir.	3600	in	ns	dns1.cscdns.net.
aggregates.weir.	3600	in	ns	dns2.cscdns.net.
allen-steam-turbines.weir.	3600	in	ns	dns1.cscdns.net.
allen-steam-turbines.weir.	3600	in	ns	dns2.cscdns.net.
alwayswarman.weir.	3600	in	ns	dns1.cscdns.net.
alwayswarman.weir.	3600	in	ns	dns2.cscdns.net.
americanhydro.weir.	3600	in	ns	dns1.cscdns.net.
americanhydro.weir.	3600	in	ns	dns2.cscdns.net.
analytics.weir.	3600	in	ns	dns1.cscdns.net.
analytics.weir.	3600	in	ns	dns2.cscdns.net.
annualreport.weir.	3600	in	ns	dns1.cscdns.net.
annualreport.weir.	3600	in	ns	dns2.cscdns.net.
annualreport2017.weir.	3600	in	ns	dns1.cscdns.net.
annualreport2017.weir.	3600	in	ns	dns2.cscdns.net.
apac.weir.	3600	in	ns	dns1.cscdns.net.
apac.weir.	3600	in	ns	dns2.cscdns.net.
apaccoal.weir.	3600	in	ns	dns1.cscdns.net.
apaccoal.weir.	3600	in	ns	dns2.cscdns.net.
apps.weir.	3600	in	ns	dns1.cscdns.net.
apps.weir.	3600	in	ns	dns2.cscdns.net.
asiapacificsolutions.weir.	3600	in	ns	dns1.cscdns.net.
asiapacificsolutions.weir.	3600	in	ns	dns2.cscdns.net.
aspir.weir.	3600	in	ns	dns1.cscdns.net.
aspir.weir.	3600	in	ns	dns2.cscdns.net.
atwoodandmorrill.weir.	3600	in	ns	dns1.cscdns.net.
atwoodandmorrill.weir.	3600	in	ns	dns2.cscdns.net.
australiansolutions.weir.	3600	in	ns	dns1.cscdns.net.
australiansolutions.weir.	3600	in	ns	dns2.cscdns.net.
autotork.weir.	3600	in	ns	dns1.cscdns.net.
autotork.weir.	3600	in	ns	dns2.cscdns.net.
b0.nic.weir.	3600	in	a	65.22.113.75
b0.nic.weir.	3600	in	aaaa	2a01:8840:006f:0000:0000:0000:0000:0075
batleyvalve.weir.	3600	in	ns	dns1.cscdns.net.
batleyvalve.weir.	3600	in	ns	dns2.cscdns.net.
bdk.weir.	3600	in	ns	dns1.cscdns.net.
bdk.weir.	3600	in	ns	dns2.cscdns.net.
begemann.weir.	3600	in	ns	dns1.cscdns.net.
begemann.weir.	3600	in	ns	dns2.cscdns.net.
blakeborough.weir.	3600	in	ns	dns1.cscdns.net.
blakeborough.weir.	3600	in	ns	dns2.cscdns.net.
c0.nic.weir.	3600	in	a	65.22.114.75
c0.nic.weir.	3600	in	aaaa	2a01:8840:0070:0000:0000:0000:0000:0075
canadiansolutions.weir.	3600	in	ns	dns1.cscdns.net.
canadiansolutions.weir.	3600	in	ns	dns2.cscdns.net.
careers.weir.	3600	in	ns	dns1.cscdns.net.
careers.weir.	3600	in	ns	dns2.cscdns.net.
cavex.weir.	3600	in	ns	dns1.cscdns.net.
cavex.weir.	3600	in	ns	dns2.cscdns.net.
