wien.	604800	in	soa	ns1.ryce-rsp.com. support.ryce-rsp.com. 2025061788 21600 7200 1814400 86400
02b720qlm3okoneftlsglu619aafvvi8.wien.	86400	in	nsec3	1 1 0 - 04IDBVJ4RKKJR6RJCHDVF6OUI08Q05LR NS DS RRSIG
02b720qlm3okoneftlsglu619aafvvi8.wien.	86400	in	rrsig	NSEC3 8 2 86400 20260208013003 20260125000003 29313 wien. Nea3I6eDwU97fMxgeYJZ8e2FFGmHNAjuMoqPNj5QdNR9cUpHqlhFN9I930R+SIPY3v2OenoWPujfVq/vwDs3Sek65oCB6bVfyXwxQKnIyTUFrp1UEAoZRz14T+NMou5nhPGEnaUa822cjDdkvlWqjkYz1XTilF7e1W2dV9eO8uI=
04idbvj4rkkjr6rjchdvf6oui08q05lr.wien.	86400	in	nsec3	1 1 0 - 04K236FRL2S1DAAS6M9FERHIH8NAMDI6 NS DS RRSIG
04idbvj4rkkjr6rjchdvf6oui08q05lr.wien.	86400	in	rrsig	NSEC3 8 2 86400 20260208013003 20260125000003 29313 wien. XKoh9aKXPDn5DEY/JAOOJyahyFKuVqtDXdwlasTGINbkQY4fId2DvlYA0yQsac9m2n0FqYB7hzNJvBSGj2hVVXtfsG3LQUViSzQNYLCp7evxl49cahHg3kVWBog3Txa9MSRtaCMqA/YVxqmQ/F7WOWL1t/mDftA0Hu+KI63mJYE=
04k236frl2s1daas6m9ferhih8namdi6.wien.	86400	in	nsec3	1 1 0 - 05C3N4DM9RRFCUQUT8Q7DQE8OJVVUORJ NS DS RRSIG
04k236frl2s1daas6m9ferhih8namdi6.wien.	86400	in	rrsig	NSEC3 8 2 86400 20260208013003 20260125000003 29313 wien. Evx9138AQyU8Ui+3Q1aI5QSmljCm/T6CG19yOP96CF/uzN6rGMgUWn5UG1Q78LCH1D09EkL0XqlUKRG6oUdBtvO9Nzk8y3JMyhggPLG3okx9PR9FJjAp3MHXKKCL10nLgS5/vXev0e+BCVrlmSHY9+mq2bPSLLF3OxvTs7FFOwc=
0505379.wien.	14400	in	ns	ns1.netzadresse.at.
0505379.wien.	14400	in	ns	ns2.netzadresse.at.
0505379.wien.	14400	in	ns	ns3.netzadresse.at.
0505379.wien.	14400	in	ns	ns4.netzadresse.at.
05757575.wien.	14400	in	ns	ns1.netzadresse.at.
05757575.wien.	14400	in	ns	ns2.netzadresse.at.
05757575.wien.	14400	in	ns	ns3.netzadresse.at.
05757575.wien.	14400	in	ns	ns4.netzadresse.at.
05c3n4dm9rrfcuqut8q7dqe8ojvvuorj.wien.	86400	in	nsec3	1 1 0 - 05EFJ8DLRNF1SD3IPSVTVFN9B8H6Q4V6 NS DS RRSIG
05c3n4dm9rrfcuqut8q7dqe8ojvvuorj.wien.	86400	in	rrsig	NSEC3 8 2 86400 20260208013003 20260125000003 29313 wien. k4yGIk0x5696Nu/xXw/qGxgANRUqpAfyZiwSQT1VwVtXWv68CEso5ZERPw4JqARPKu6K22FMt7uD/SxlYLc2hNyVPKnm+93l/eY4/+NL3Zlumq1ry0NuMZQgo/+2n0l2mkidCvGbz435P/tXvrH/mqlJhGgcfeAZlPAl5CZM9BI=
05efj8dlrnf1sd3ipsvtvfn9b8h6q4v6.wien.	86400	in	nsec3	1 1 0 - 09H7IRH2K8UNSN42V8EU55JSUVJLKL5T NS DS RRSIG
05efj8dlrnf1sd3ipsvtvfn9b8h6q4v6.wien.	86400	in	rrsig	NSEC3 8 2 86400 20260208013003 20260125000003 29313 wien. NPS4PCkNcXxxYcXeNfdZZqeCpIrZWOhh7yz36NUdpJMdO42hFsl9iGxWzrhWlQPJE1uQ7WovC93Zc2h0B2K9IdypqGMQTi6kn2pScNjaqoTcHJG9ondalqiG5vhxMQx6sFcA77h5AzpyUusTUmybNPOzaOxVodREzoLZRcmtTI8=
0815.wien.	14400	in	ns	ns1.internex.at.
0815.wien.	14400	in	ns	ns2.internex.at.
0815.wien.	14400	in	ns	ns3.internex.at.
0815.wien.	14400	in	ns	ns4.internex.at.
0816.wien.	14400	in	ds	17512 13 2 5313B6BD02654D50B2A2302417CE7795BD48023B32964CB363E899883A6D8508
0816.wien.	14400	in	ns	ns1.world4you.at.
0816.wien.	14400	in	ns	ns2.world4you.at.
0816.wien.	14400	in	rrsig	DS 8 2 14400 20260208013003 20260125000003 29313 wien. DZEbzr++es4T+FZHF5JV4SoKVH1oJsb6UpFdChrI26R6ldIh4+MB8EryssnPkd4iWEn/1ysLSFhcp7m1tw6P9RLCeQcuZ3HLgaUxa41tCl8zM5YSe2fwZJENgMUaZcb1/6+xWyMmODOks4+TyB08cf6iYTLj39J1MpRAu6OgWQc=
09h7irh2k8unsn42v8eu55jsuvjlkl5t.wien.	86400	in	nsec3	1 1 0 - 09VRSLIQMVR59IVTL44M8G3UARKC5BRL NS DS RRSIG
09h7irh2k8unsn42v8eu55jsuvjlkl5t.wien.	86400	in	rrsig	NSEC3 8 2 86400 20260208013003 20260125000003 29313 wien. ckiwtsKs5plL3pu6RWyav7bd/KctlTk8riFUEa3GR/tkz6hQTq+H+Lnu1qc0wDFr/HiG6fIiP4HduROYYBcZ5hUpYQD4lMS05gs+vvUR2k3eMH9GQg+lMMIimwLRVblFYeOZSD4IHmWYvGvxfY9IW+pI+Aj/7ihJmsskOYSinrk=
09vrsliqmvr59ivtl44m8g3uarkc5brl.wien.	86400	in	nsec3	1 1 0 - 0AA8I44MSL4KJCUA862QGRQLQHCNP6N1 NS DS RRSIG
