wine.	3600	in	soa	v0n0.nic.wine. hostmaster.donuts.email. 1756257745 7200 900 1209600 3600
0.wine.	3600	in	ns	ns1.afternic.com.
0.wine.	3600	in	ns	ns2.afternic.com.
00.wine.	3600	in	ns	ns1.afternic.com.
00.wine.	3600	in	ns	ns2.afternic.com.
00.wine.	3600	in	ns	ns3.afternic.com.
00.wine.	3600	in	ns	ns4.afternic.com.
000.wine.	3600	in	ns	ns1.register.it.
000.wine.	3600	in	ns	ns2.register.it.
001.wine.	3600	in	ns	ns1.afternic.com.
001.wine.	3600	in	ns	ns2.afternic.com.
0049.wine.	3600	in	ns	ns.udag.de.
0049.wine.	3600	in	ns	ns.udag.net.
0049.wine.	3600	in	ns	ns.udag.org.
007.wine.	3600	in	ds	42008 13 2 9FDAB02CE2F71D10EC1B0B1822B3305699EEE30452A0B8D8136466F1A7F98113
007.wine.	3600	in	ns	ns3.epik.com.
007.wine.	3600	in	ns	ns4.epik.com.
007.wine.	3600	in	rrsig	DS 8 2 3600 20250916152048 20250826142048 21604 wine. hZE5WruSb8ZHbkMKd66K5r5XaZUwXTb4uVaMUB4phPmnNeh8+68RbORoQa6anYXattbCCI+flHwHlZ7URBV1mBG18zQjiChguCPvapqZC+OUzP28cag7XBzF4JXBGcj+b/Czg/f3OdLqAQEGjJ1WRQeWPLKQwu55uTHb1PLh3Cs=
00chatgpt.wine.	3600	in	ns	ns1.dyna-ns.net.
00chatgpt.wine.	3600	in	ns	ns2.dyna-ns.net.
014jpsi67qt87iai1jm3vto6q23qr7ke.wine.	3600	in	nsec3	1 1 0 73 016H17E98GMT7JVTPSP69DU87N7SVCQ6 NS DS RRSIG
014jpsi67qt87iai1jm3vto6q23qr7ke.wine.	3600	in	rrsig	NSEC3 8 2 3600 20250916152048 20250826142048 21604 wine. GVesDvbDxZQwGRpsDo2OjJV4oWaBHavoqkktBUNq1cWDqzcQNHFuGTZCHSn3tUcmFPzcpxwhqMFJpZy1Z66JWu6naZZ2B782YNCo0HCkGHPeDKlPrZfi1LMYOwl332r9k7Iz1vOL4kY4HlORu5uZ+7reBVOuORum8ix3wS+Qr34=
016h17e98gmt7jvtpsp69du87n7svcq6.wine.	3600	in	nsec3	1 1 0 73 01T40MAFOATMNFMUD5R0DS0BHUD9A5OI NS DS RRSIG
016h17e98gmt7jvtpsp69du87n7svcq6.wine.	3600	in	rrsig	NSEC3 8 2 3600 20250916152048 20250826142048 21604 wine. E3rjIBilxmU/7MRfQsuuqHJYYrJ6B0ZtmkcOJdNAYfMXxYy11HWmf+5bBbcApcB48P5SBwS4xDITa8jk6migEXVhASWHOc4GDWAauu2Wzg9g1CLYBzDyJqbghCaUzEaBvPIdKaIRAr0of0fP9yXlamlueQhGdHO/3ehft/d944k=
019.wine.	3600	in	ns	ns1.siteground.net.
019.wine.	3600	in	ns	ns2.siteground.net.
01t40mafoatmnfmud5r0ds0bhud9a5oi.wine.	3600	in	nsec3	1 1 0 73 03FI4O7DBORGOCQG6S675OOV1LQ36SPN NS DS RRSIG
01t40mafoatmnfmud5r0ds0bhud9a5oi.wine.	3600	in	rrsig	NSEC3 8 2 3600 20250916152048 20250826142048 21604 wine. jhiG4t+UWorEyHX0MVmrrWNFmA0pX8AEXaZfFdMf4NwCTlP8PwFKQmVjcJ3Rev9AZOSH9VAcJGQU7RTGGXhpzD86tRl1vfLdzXxgsJJD/6bnjqOkVfrD5iGl3M9BJeOTNlWIMlMhT7kptXKGJx4npnajiA+mC+Pv5v0an+TY+Ns=
03fi4o7dborgocqg6s675oov1lq36spn.wine.	3600	in	nsec3	1 1 0 73 04RC08KPGO97N812JD99V0MG2BGJ435F NS DS RRSIG
03fi4o7dborgocqg6s675oov1lq36spn.wine.	3600	in	rrsig	NSEC3 8 2 3600 20250916152048 20250826142048 21604 wine. UnimVLmtKnk3b55UJ4vJwbHy23v8sot09h4wbL6TR7OMxsHg+bnCXUzA7FhZQNJ8dnhutSs/nczVaEJ1IBqmymFUNbuA2wTfppnIbvubCfEL0/WrB5RTFgLVsVW/bqF/jkWr9wVZMu2wLgFyom7RtpgIESW10OT7Smbf59AJ2FM=
04rc08kpgo97n812jd99v0mg2bgj435f.wine.	3600	in	nsec3	1 1 0 73 0597QNFJRIT95O0HGSKELHG6PK8JUC2H NS DS RRSIG
04rc08kpgo97n812jd99v0mg2bgj435f.wine.	3600	in	rrsig	NSEC3 8 2 3600 20250916152048 20250826142048 21604 wine. b+0/nqjNzdCCDfb6MaDnm/hQ9Ksuyye7xmrC+/0v666JElNfSvU7cjrojESUmXwwlD8JQ6JbSswv8XDZBVC9RiSWN2Gc2TRrMmdj4VsaJZAfoVFENXYR7FPh35HowXK8OBdtaTfST+Izp4UUxLuvwakw35XBfqFVQFViggsVd2M=
05.wine.	3600	in	ns	connect1.squarespacedns.com.
05.wine.	3600	in	ns	connect2.squarespacedns.com.
0597qnfjrit95o0hgskelhg6pk8juc2h.wine.	3600	in	nsec3	1 1 0 73 05H9I47HJBICE2AATNS2TS1QKUIRERPE NS DS RRSIG
0597qnfjrit95o0hgskelhg6pk8juc2h.wine.	3600	in	rrsig	NSEC3 8 2 3600 20250916152048 20250826142048 21604 wine. agf3BrgOH8+hMbU7kVaiWQRghRBCBff92a5QYAuRQi8k5DfvqPkcf1Ssorpeme78vbBT5tjGiHr9cXgtlw+uhMwW4mMriS9S8ZgkiKu/kTESbC1l+G81ud2S36TPcmxKzAy0IAH+7AI9FznhwZnzUU7z89CpAAsuNrWkq/SEysY=
05h9i47hjbice2aatns2ts1qkuirerpe.wine.	3600	in	nsec3	1 1 0 73 05JB4KLNFK79K1OQKF09PT4FP3F2VLPC NS DS RRSIG
05h9i47hjbice2aatns2ts1qkuirerpe.wine.	3600	in	rrsig	NSEC3 8 2 3600 20250916152048 20250826142048 21604 wine. OJnazMx27nuHU5yTx9DT8SdsMfvD5P7G4WTuQDbVmZeG7OdPYWHOz6Ddhz89wl9/VmWcTkeNPA8za6HWLinD61i47ogunTeb0MRx848wXLGPQALtiDjAKPd7eOQJnaEMY6S4KA7EZXgUD7okk4C3fENkDj3HwIU8qMUqOn1CE+k=
05jb4klnfk79k1oqkf09pt4fp3f2vlpc.wine.	3600	in	nsec3	1 1 0 73 08H912SPRQ3JEFDS9TGVTBOQ6G00TDIP NS DS RRSIG
