xin.	3600	in	soa	a0.nic.xin. hostmaster.donuts.email. 1757640247 7200 900 1209600 3600
000000.xin.	3600	in	ns	dns31.hichina.com.
000000.xin.	3600	in	ns	dns32.hichina.com.
0000001.xin.	3600	in	ns	dns19.hichina.com.
0000001.xin.	3600	in	ns	dns20.hichina.com.
000001.xin.	3600	in	ns	ns1.myhostadmin.net.
000001.xin.	3600	in	ns	ns2.myhostadmin.net.
000001.xin.	3600	in	ns	ns3.myhostadmin.net.
000001.xin.	3600	in	ns	ns4.myhostadmin.net.
000001.xin.	3600	in	ns	ns5.myhostadmin.net.
000001.xin.	3600	in	ns	ns6.myhostadmin.net.
00001.xin.	3600	in	ns	dns10.hichina.com.
00001.xin.	3600	in	ns	dns9.hichina.com.
00002.xin.	3600	in	ns	dns7.hichina.com.
00002.xin.	3600	in	ns	dns8.hichina.com.
00003.xin.	3600	in	ns	dns3.hichina.com.
00003.xin.	3600	in	ns	dns4.hichina.com.
00004.xin.	3600	in	ns	dns1.hichina.com.
00004.xin.	3600	in	ns	dns2.hichina.com.
00005.xin.	3600	in	ns	dns31.hichina.com.
00005.xin.	3600	in	ns	dns32.hichina.com.
00006.xin.	3600	in	ns	dns29.hichina.com.
00006.xin.	3600	in	ns	dns30.hichina.com.
00007.xin.	3600	in	ns	dns27.hichina.com.
00007.xin.	3600	in	ns	dns28.hichina.com.
00008.xin.	3600	in	ns	dns25.hichina.com.
00008.xin.	3600	in	ns	dns26.hichina.com.
00009.xin.	3600	in	ns	dns23.hichina.com.
00009.xin.	3600	in	ns	dns24.hichina.com.
0001.xin.	3600	in	ns	dns31.hichina.com.
0001.xin.	3600	in	ns	dns32.hichina.com.
00010.xin.	3600	in	ns	dns10.hichina.com.
00010.xin.	3600	in	ns	dns9.hichina.com.
00011.xin.	3600	in	ns	dns7.hichina.com.
00011.xin.	3600	in	ns	dns8.hichina.com.
00012.xin.	3600	in	ns	dns3.hichina.com.
00012.xin.	3600	in	ns	dns4.hichina.com.
00013.xin.	3600	in	ns	dns1.hichina.com.
00013.xin.	3600	in	ns	dns2.hichina.com.
00014.xin.	3600	in	ns	dns31.hichina.com.
00014.xin.	3600	in	ns	dns32.hichina.com.
00015.xin.	3600	in	ns	dns29.hichina.com.
00015.xin.	3600	in	ns	dns30.hichina.com.
00016.xin.	3600	in	ns	dns27.hichina.com.
00016.xin.	3600	in	ns	dns28.hichina.com.
00017.xin.	3600	in	ns	dns25.hichina.com.
00017.xin.	3600	in	ns	dns26.hichina.com.
0001700.xin.	3600	in	ns	dns17.hichina.com.
0001700.xin.	3600	in	ns	dns18.hichina.com.
00018.xin.	3600	in	ns	dns23.hichina.com.
00018.xin.	3600	in	ns	dns24.hichina.com.
00019.xin.	3600	in	ns	dns21.hichina.com.
00019.xin.	3600	in	ns	dns22.hichina.com.
0002.xin.	3600	in	ns	dns29.hichina.com.
0002.xin.	3600	in	ns	dns30.hichina.com.
0003.xin.	3600	in	ns	dns27.hichina.com.
0003.xin.	3600	in	ns	dns28.hichina.com.
0005.xin.	3600	in	ns	dns23.hichina.com.
0005.xin.	3600	in	ns	dns24.hichina.com.
00063.xin.	3600	in	ns	dns23.hichina.com.
00063.xin.	3600	in	ns	dns24.hichina.com.
0007.xin.	3600	in	ns	dns19.hichina.com.
0007.xin.	3600	in	ns	dns20.hichina.com.
0008.xin.	3600	in	ns	dns10.hichina.com.
0008.xin.	3600	in	ns	dns9.hichina.com.
0009.xin.	3600	in	ns	dns15.hichina.com.
0009.xin.	3600	in	ns	dns16.hichina.com.
00091.xin.	3600	in	ns	dns21.hichina.com.
00091.xin.	3600	in	ns	dns22.hichina.com.
