xn--1qqw23a.	21600	in	soa	ta.ngtld.cn. sysmgr.cnnic.cn. 2019018590 14400 3600 2419200 21600
0917test111.xn--1qqw23a.	86400	in	ns	dns3.hichina.com.
0917test111.xn--1qqw23a.	86400	in	ns	dns4.hichina.com.
1020test002.xn--1qqw23a.	86400	in	ns	dns31.hichina.com.
1020test002.xn--1qqw23a.	86400	in	ns	dns32.hichina.com.
110.xn--1qqw23a.	86400	in	ns	dns27.hichina.com.
110.xn--1qqw23a.	86400	in	ns	dns28.hichina.com.
120.xn--1qqw23a.	86400	in	ns	dns29.hichina.com.
120.xn--1qqw23a.	86400	in	ns	dns30.hichina.com.
1523.xn--1qqw23a.	86400	in	ns	dns31.hichina.com.
1523.xn--1qqw23a.	86400	in	ns	dns32.hichina.com.
168.xn--1qqw23a.	86400	in	ns	dns23.hichina.com.
168.xn--1qqw23a.	86400	in	ns	dns24.hichina.com.
1688.xn--1qqw23a.	86400	in	ns	dns25.hichina.com.
1688.xn--1qqw23a.	86400	in	ns	dns26.hichina.com.
5188.xn--1qqw23a.	86400	in	ns	dns21.hichina.com.
5188.xn--1qqw23a.	86400	in	ns	dns22.hichina.com.
520.xn--1qqw23a.	86400	in	ns	dns7.hichina.com.
520.xn--1qqw23a.	86400	in	ns	dns8.hichina.com.
76254a9ekf30rmjd4k1fn7kt646m3fhb.xn--1qqw23a.	21600	in	nsec3	1 1 0 - 8L2PQV5U8NGE2H8BCOVB0J638J0H5MS1 NS DS RRSIG
76254a9ekf30rmjd4k1fn7kt646m3fhb.xn--1qqw23a.	21600	in	rrsig	NSEC3 8 2 21600 20260209184205 20260110183314 17151 xn--1qqw23a. WwYp76J182fbs1wvTjPHkqphfBmrpCTLV9LW8qehLjvUwI9CLf4UAFy/PwXM/U8j/xXvgUr4+dWoW1qktoBLWgM0T80H1wviFIEQRp3IjvXMEZiPM6DwfBXwO0F0e8Z6LnT5voqZTKkA0K+jCRaismhs9WcK0+j1kYA07mGLHZQ=
8l2pqv5u8nge2h8bcovb0j638j0h5ms1.xn--1qqw23a.	21600	in	nsec3	1 1 0 - 76254A9EKF30RMJD4K1FN7KT646M3FHB NS SOA RRSIG DNSKEY NSEC3PARAM
8l2pqv5u8nge2h8bcovb0j638j0h5ms1.xn--1qqw23a.	21600	in	rrsig	NSEC3 8 2 21600 20260209184205 20260110183314 17151 xn--1qqw23a. FW4NIdFMvney9cyvpdtp+IwyRri1OvblDeRK0iQdIBePwSyfNZ6sgbegOZ/4jNcF4aKgORVdufm1inWbLFLtxel6qqM718YDAlVEhNUABYv9aiSNovEdNAV5Qz4tTdlrKbg/iJSjthEyTQOSR90sM6XAnTJLmliiJh7Mh8vGjtk=
96110.xn--1qqw23a.	86400	in	ns	dns31.hichina.com.
96110.xn--1qqw23a.	86400	in	ns	dns32.hichina.com.
9810.xn--1qqw23a.	86400	in	ns	dns11.hichina.com.
9810.xn--1qqw23a.	86400	in	ns	dns12.hichina.com.
