xn--3ds443g.	3600	in	soa	ns1.teleinfo.cn. ops.teleinfo.cn. 2025057532 14400 3600 2419200 3600
0.xn--3ds443g.	86400	in	ns	ns.nagor.cn.
0.xn--3ds443g.	86400	in	ns	ns.nagor.com.cn.
0.xn--3ds443g.	86400	in	ns	ns1.dnsnw.com.
0.xn--3ds443g.	86400	in	ns	ns2.dnsnw.com.
00.xn--3ds443g.	86400	in	ns	ns1.gxkjdns.com.
00.xn--3ds443g.	86400	in	ns	ns2.gxkjdns.com.
01.xn--3ds443g.	86400	in	ns	ns.nagor.cn.
01.xn--3ds443g.	86400	in	ns	ns.nagor.com.cn.
01.xn--3ds443g.	86400	in	ns	ns1.dnsnw.com.
01.xn--3ds443g.	86400	in	ns	ns2.dnsnw.com.
0312.xn--3ds443g.	86400	in	ns	ns1.myhostadmin.net.
0312.xn--3ds443g.	86400	in	ns	ns2.myhostadmin.net.
0371.xn--3ds443g.	86400	in	ns	expdns1.expdns.net.
0371.xn--3ds443g.	86400	in	ns	expdns2.expdns.net.
0421.xn--3ds443g.	7200	in	ns	dns11.hichina.com.
0421.xn--3ds443g.	7200	in	ns	dns12.hichina.com.
0516.xn--3ds443g.	86400	in	ns	ns5.myhostadmin.net.
0516.xn--3ds443g.	86400	in	ns	ns6.myhostadmin.net.
0518.xn--3ds443g.	86400	in	ns	ns1.myhostadmin.net.
0518.xn--3ds443g.	86400	in	ns	ns2.myhostadmin.net.
0530.xn--3ds443g.	86400	in	ns	ns3.myhostadmin.net.
0530.xn--3ds443g.	86400	in	ns	ns4.myhostadmin.net.
0533.xn--3ds443g.	86400	in	ns	ns5.myhostadmin.net.
0533.xn--3ds443g.	86400	in	ns	ns6.myhostadmin.net.
0536.xn--3ds443g.	86400	in	ns	ns1.myhostadmin.net.
0536.xn--3ds443g.	86400	in	ns	ns2.myhostadmin.net.
0558.xn--3ds443g.	86400	in	ns	ns1.myhostadmin.net.
0558.xn--3ds443g.	86400	in	ns	ns2.myhostadmin.net.
06030.xn--3ds443g.	86400	in	ns	ns1.gxkjdns.com.
06030.xn--3ds443g.	86400	in	ns	ns2.gxkjdns.com.
0631.xn--3ds443g.	86400	in	ns	ce1.xincache.com.
0631.xn--3ds443g.	86400	in	ns	ce2.xincache.com.
0632.xn--3ds443g.	86400	in	ns	ns1.myhostadmin.net.
0632.xn--3ds443g.	86400	in	ns	ns2.myhostadmin.net.
0635.xn--3ds443g.	86400	in	ns	ce1.xincache.com.
0635.xn--3ds443g.	86400	in	ns	ce2.xincache.com.
0838.xn--3ds443g.	86400	in	ns	ns1.myhostadmin.net.
0838.xn--3ds443g.	86400	in	ns	ns2.myhostadmin.net.
0855.xn--3ds443g.	86400	in	ns	ns1.myhostadmin.net.
0855.xn--3ds443g.	86400	in	ns	ns2.myhostadmin.net.
0856.xn--3ds443g.	86400	in	ns	ns1.myhostadmin.net.
0856.xn--3ds443g.	86400	in	ns	ns2.myhostadmin.net.
0858.xn--3ds443g.	86400	in	ns	ns1.myhostadmin.net.
0858.xn--3ds443g.	86400	in	ns	ns2.myhostadmin.net.
0866.xn--3ds443g.	86400	in	ns	ns5.myhostadmin.net.
0866.xn--3ds443g.	86400	in	ns	ns6.myhostadmin.net.
1.xn--3ds443g.	86400	in	ns	ns.nagor.cn.
1.xn--3ds443g.	86400	in	ns	ns.nagor.com.cn.
1.xn--3ds443g.	86400	in	ns	ns1.dnsnw.com.
1.xn--3ds443g.	86400	in	ns	ns2.dnsnw.com.
100.xn--3ds443g.	7200	in	ns	ns.nagor.cn.
100.xn--3ds443g.	7200	in	ns	ns.nagor.com.cn.
100.xn--3ds443g.	7200	in	ns	ns1.dnsnw.com.
100.xn--3ds443g.	7200	in	ns	ns2.dnsnw.com.
1000love.xn--3ds443g.	86400	in	ns	expdns1.expdns.net.
1000love.xn--3ds443g.	86400	in	ns	expdns2.expdns.net.
100868.xn--3ds443g.	86400	in	ns	dns19.hichina.com.
100868.xn--3ds443g.	86400	in	ns	dns20.hichina.com.
101yuming.xn--3ds443g.	86400	in	ns	dale.ns.cloudflare.com.
101yuming.xn--3ds443g.	86400	in	ns	nelly.ns.cloudflare.com.
111.xn--3ds443g.	86400	in	ns	ns.nagor.cn.
111.xn--3ds443g.	86400	in	ns	ns.nagor.com.cn.
111.xn--3ds443g.	86400	in	ns	ns1.dnsnw.com.
111.xn--3ds443g.	86400	in	ns	ns2.dnsnw.com.
12306.xn--3ds443g.	86400	in	ns	ns.nagor.cn.
12306.xn--3ds443g.	86400	in	ns	ns.nagor.com.cn.
12306.xn--3ds443g.	86400	in	ns	ns1.dnsnw.com.
12306.xn--3ds443g.	86400	in	ns	ns2.dnsnw.com.
12356.xn--3ds443g.	86400	in	ns	ns.nagor.cn.
12356.xn--3ds443g.	86400	in	ns	ns.nagor.com.cn.
12356.xn--3ds443g.	86400	in	ns	ns1.dnsnw.com.
12356.xn--3ds443g.	86400	in	ns	ns2.dnsnw.com.
12366.xn--3ds443g.	86400	in	ns	dns27.hichina.com.
12366.xn--3ds443g.	86400	in	ns	dns28.hichina.com.
12920.xn--3ds443g.	86400	in	ns	expdns1.expdns.net.
12920.xn--3ds443g.	86400	in	ns	expdns2.expdns.net.
138.xn--3ds443g.	86400	in	ns	ce1.xincache.com.
138.xn--3ds443g.	86400	in	ns	ce2.xincache.com.
1573.xn--3ds443g.	86400	in	ns	ns.nagor.cn.
1573.xn--3ds443g.	86400	in	ns	ns.nagor.com.cn.
1573.xn--3ds443g.	86400	in	ns	ns1.dnsnw.com.
1573.xn--3ds443g.	86400	in	ns	ns2.dnsnw.com.
163.xn--3ds443g.	86400	in	ns	ns1.markmonitor.com.
163.xn--3ds443g.	86400	in	ns	ns2.markmonitor.com.
163.xn--3ds443g.	86400	in	ns	ns3.markmonitor.com.
163.xn--3ds443g.	86400	in	ns	ns4.markmonitor.com.
163.xn--3ds443g.	86400	in	ns	ns5.markmonitor.com.
163.xn--3ds443g.	86400	in	ns	ns6.markmonitor.com.
163.xn--3ds443g.	86400	in	ns	ns7.markmonitor.com.
168.xn--3ds443g.	86400	in	ns	ce1.xincache.com.
168.xn--3ds443g.	86400	in	ns	ce2.xincache.com.
1688.xn--3ds443g.	86400	in	ns	ns.nagor.cn.
1688.xn--3ds443g.	86400	in	ns	ns.nagor.com.cn.
1688.xn--3ds443g.	86400	in	ns	ns1.dnsnw.com.
1688.xn--3ds443g.	86400	in	ns	ns2.dnsnw.com.
1819.xn--3ds443g.	86400	in	ns	ns.nagor.cn.
1819.xn--3ds443g.	86400	in	ns	ns.nagor.com.cn.
1819.xn--3ds443g.	86400	in	ns	ns1.dnsnw.com.
1819.xn--3ds443g.	86400	in	ns	ns2.dnsnw.com.
188.xn--3ds443g.	86400	in	ns	ce1.xincache.com.
188.xn--3ds443g.	86400	in	ns	ce2.xincache.com.
189.xn--3ds443g.	86400	in	ns	ns.nagor.cn.
189.xn--3ds443g.	86400	in	ns	ns.nagor.com.cn.
189.xn--3ds443g.	86400	in	ns	ns1.dnsnw.com.
189.xn--3ds443g.	86400	in	ns	ns2.dnsnw.com.
