xn--5tzm5g.	3600	in	soa	a0.nic.xn--5tzm5g. hostmaster.donuts.email. 1767662421 7200 900 1209600 3600
0000.xn--5tzm5g.	3600	in	ns	ns1.taoadns.com.
0000.xn--5tzm5g.	3600	in	ns	ns2.taoadns.com.
010.xn--5tzm5g.	3600	in	ns	cedric.dnspod.net.
010.xn--5tzm5g.	3600	in	ns	lace.dnspod.net.
020.xn--5tzm5g.	3600	in	ns	cedric.dnspod.net.
020.xn--5tzm5g.	3600	in	ns	lace.dnspod.net.
021.xn--5tzm5g.	3600	in	ns	cedric.dnspod.net.
021.xn--5tzm5g.	3600	in	ns	lace.dnspod.net.
025.xn--5tzm5g.	3600	in	ns	cedric.dnspod.net.
025.xn--5tzm5g.	3600	in	ns	lace.dnspod.net.
03omw4qwt73lvwsl4dl1.xn--5tzm5g.	3600	in	ns	chelsea.ns.cloudflare.com.
03omw4qwt73lvwsl4dl1.xn--5tzm5g.	3600	in	ns	eoin.ns.cloudflare.com.
03yfeh0vd2btpxl869gz.xn--5tzm5g.	3600	in	ns	chelsea.ns.cloudflare.com.
03yfeh0vd2btpxl869gz.xn--5tzm5g.	3600	in	ns	eoin.ns.cloudflare.com.
07fvgetsfjz4gyoo4lbq.xn--5tzm5g.	3600	in	ns	ns1.taoadns.com.
07fvgetsfjz4gyoo4lbq.xn--5tzm5g.	3600	in	ns	ns2.taoadns.com.
0bc9h6b3ktl.xn--5tzm5g.	3600	in	ns	chelsea.ns.cloudflare.com.
0bc9h6b3ktl.xn--5tzm5g.	3600	in	ns	eoin.ns.cloudflare.com.
0c69pjpa6sps0b5go9r.xn--5tzm5g.	3600	in	ns	joselyn.ns.cloudflare.com.
0c69pjpa6sps0b5go9r.xn--5tzm5g.	3600	in	ns	keaton.ns.cloudflare.com.
0ptze0gptj5dry86ar93.xn--5tzm5g.	3600	in	ns	ns1.taoadns.com.
0ptze0gptj5dry86ar93.xn--5tzm5g.	3600	in	ns	ns2.taoadns.com.
0vb8flbb1pl.xn--5tzm5g.	3600	in	ns	chelsea.ns.cloudflare.com.
0vb8flbb1pl.xn--5tzm5g.	3600	in	ns	eoin.ns.cloudflare.com.
0z1nmcdv7mv.xn--5tzm5g.	3600	in	ns	chelsea.ns.cloudflare.com.
0z1nmcdv7mv.xn--5tzm5g.	3600	in	ns	eoin.ns.cloudflare.com.
100.xn--5tzm5g.	3600	in	ns	cedric.dnspod.net.
100.xn--5tzm5g.	3600	in	ns	lace.dnspod.net.
10qz93uvg0a4atbgfjdj.xn--5tzm5g.	3600	in	ns	chelsea.ns.cloudflare.com.
10qz93uvg0a4atbgfjdj.xn--5tzm5g.	3600	in	ns	eoin.ns.cloudflare.com.
111.xn--5tzm5g.	3600	in	ns	ns1.gxkjdns.com.
111.xn--5tzm5g.	3600	in	ns	ns2.gxkjdns.com.
1111.xn--5tzm5g.	3600	in	ns	ns1.taoadns.com.
1111.xn--5tzm5g.	3600	in	ns	ns2.taoadns.com.
123.xn--5tzm5g.	3600	in	ns	ns1.gxkjdns.com.
123.xn--5tzm5g.	3600	in	ns	ns2.gxkjdns.com.
12315.xn--5tzm5g.	3600	in	ns	alfred.dnspod.net.
12315.xn--5tzm5g.	3600	in	ns	linesman.dnspod.net.
12345.xn--5tzm5g.	3600	in	ns	ns1.dyna-ns.net.
12345.xn--5tzm5g.	3600	in	ns	ns2.dyna-ns.net.
12356.xn--5tzm5g.	3600	in	ns	ns1.gxkjdns.com.
12356.xn--5tzm5g.	3600	in	ns	ns2.gxkjdns.com.
12938rdyhqwdhs9ie0r12.xn--5tzm5g.	3600	in	ns	chelsea.ns.cloudflare.com.
12938rdyhqwdhs9ie0r12.xn--5tzm5g.	3600	in	ns	eoin.ns.cloudflare.com.
129jycvakevjmxvk4j0.xn--5tzm5g.	3600	in	ns	ns1.taoadns.com.
129jycvakevjmxvk4j0.xn--5tzm5g.	3600	in	ns	ns2.taoadns.com.
1573.xn--5tzm5g.	3600	in	ns	ns1.gxkjdns.com.
1573.xn--5tzm5g.	3600	in	ns	ns2.gxkjdns.com.
163.xn--5tzm5g.	3600	in	ns	ns1.nease.net.
163.xn--5tzm5g.	3600	in	ns	ns2.nease.net.
163.xn--5tzm5g.	3600	in	ns	ns3.nease.net.
163.xn--5tzm5g.	3600	in	ns	ns4.nease.net.
163.xn--5tzm5g.	3600	in	ns	ns5.nease.net.
163.xn--5tzm5g.	3600	in	ns	ns6.nease.net.
163.xn--5tzm5g.	3600	in	ns	ns8.nease.net.
1688.xn--5tzm5g.	3600	in	ns	megrez.dnspod.net.
1688.xn--5tzm5g.	3600	in	ns	pink.dnspod.net.
1kwxrq0g0i522ldlk1bz.xn--5tzm5g.	3600	in	ns	chelsea.ns.cloudflare.com.
1kwxrq0g0i522ldlk1bz.xn--5tzm5g.	3600	in	ns	eoin.ns.cloudflare.com.
1qef6r018r0ldlngov3.xn--5tzm5g.	3600	in	ns	joselyn.ns.cloudflare.com.
1qef6r018r0ldlngov3.xn--5tzm5g.	3600	in	ns	keaton.ns.cloudflare.com.
1yshe7010sr.xn--5tzm5g.	3600	in	ns	chelsea.ns.cloudflare.com.
1yshe7010sr.xn--5tzm5g.	3600	in	ns	eoin.ns.cloudflare.com.
20four.xn--5tzm5g.	3600	in	ns	curitiba.ns.porkbun.com.
20four.xn--5tzm5g.	3600	in	ns	fortaleza.ns.porkbun.com.
20four.xn--5tzm5g.	3600	in	ns	maceio.ns.porkbun.com.
20four.xn--5tzm5g.	3600	in	ns	salvador.ns.porkbun.com.
21hxzrnnt6r3880455u.xn--5tzm5g.	3600	in	ns	joselyn.ns.cloudflare.com.
21hxzrnnt6r3880455u.xn--5tzm5g.	3600	in	ns	keaton.ns.cloudflare.com.
222.xn--5tzm5g.	3600	in	ns	ns1.gxkjdns.com.
222.xn--5tzm5g.	3600	in	ns	ns2.gxkjdns.com.
2222.xn--5tzm5g.	3600	in	ns	ns1.taoadns.com.
2222.xn--5tzm5g.	3600	in	ns	ns2.taoadns.com.
239vq7nhrslqkv1xr2d.xn--5tzm5g.	3600	in	ns	joselyn.ns.cloudflare.com.
239vq7nhrslqkv1xr2d.xn--5tzm5g.	3600	in	ns	keaton.ns.cloudflare.com.
24kv2hq9dn8.xn--5tzm5g.	3600	in	ns	chelsea.ns.cloudflare.com.
24kv2hq9dn8.xn--5tzm5g.	3600	in	ns	eoin.ns.cloudflare.com.
2lcee1ehqb8.xn--5tzm5g.	3600	in	ns	chelsea.ns.cloudflare.com.
2lcee1ehqb8.xn--5tzm5g.	3600	in	ns	eoin.ns.cloudflare.com.
2lqekr67pi81vfnmato41l4sg01go1m1.xn--5tzm5g.	3600	in	nsec3	1 1 0 73 8DUFG9TFN9CMLLUBIJ8DBGRLI6NL1MPQ NS DS RRSIG
