xn--6frz82g.	3600	in	soa	a0.nic.xn--6frz82g. hostmaster.donuts.email. 1769304270 7200 900 1209600 3600
001.xn--6frz82g.	3600	in	ns	f1g1ns1.dnspod.net.
001.xn--6frz82g.	3600	in	ns	f1g1ns2.dnspod.net.
05f11e6e503b6932841c8f8dc98905b0.xn--6frz82g.	3600	in	ns	dns101.registrar-servers.com.
05f11e6e503b6932841c8f8dc98905b0.xn--6frz82g.	3600	in	ns	dns102.registrar-servers.com.
065.xn--6frz82g.	3600	in	ns	ns1.dyna-ns.net.
065.xn--6frz82g.	3600	in	ns	ns2.dyna-ns.net.
0798.xn--6frz82g.	3600	in	ns	ns1.bdydns.cn.
0798.xn--6frz82g.	3600	in	ns	ns2.bdydns.cn.
0mec0r5r9u33oap3imesjcvuf36i08p3.xn--6frz82g.	3600	in	nsec3	1 1 0 73 0U3KGTQENRVV2B5UCKEARMU00R9VFU95 NS DS RRSIG
0mec0r5r9u33oap3imesjcvuf36i08p3.xn--6frz82g.	3600	in	rrsig	NSEC3 8 2 3600 20260207160646 20260117150646 29109 xn--6frz82g. KEri4PcDlycWHVdJJkoQ41Wai/QDZJyDNK2KPOiyGayd8KzkMhfRO6bytXb/mPW271fOUMk1/O5Goo7GVT08/af26jdF3/TXT6AKWxo+17d3VIUANGTEjrx2cl8MhsPwfJQNg4hW+QqC/DqD9DJjrhXI6ayHZgZjj9FuFodpvkY=
0u3kgtqenrvv2b5uckearmu00r9vfu95.xn--6frz82g.	3600	in	nsec3	1 1 0 73 2N334D65013N6NCD5E25U6TEB0N32D8N NS DS RRSIG
0u3kgtqenrvv2b5uckearmu00r9vfu95.xn--6frz82g.	3600	in	rrsig	NSEC3 8 2 3600 20260207160646 20260117150646 29109 xn--6frz82g. aE+UExMFWiwyl85Vy0Ej/FQ0fqaEApR7xNDgTbxz7GYm+me4Xx8za7LmH8iTkeoQGEVoO/1HOu8/LfOgaoPPT8pVetOFrLIWSlpF/ecIvcF/zRwq0Z0tIofrCyPLqxPwgML56dmUW9dia4vdsft9hzIiXeuC56lNVnZnI/lMYGs=
0x0.xn--6frz82g.	3600	in	ns	ns-1383.awsdns-44.org.
0x0.xn--6frz82g.	3600	in	ns	ns-1649.awsdns-14.co.uk.
0x0.xn--6frz82g.	3600	in	ns	ns-368.awsdns-46.com.
0x0.xn--6frz82g.	3600	in	ns	ns-961.awsdns-56.net.
10000.xn--6frz82g.	3600	in	ns	ce1.xincache.com.
10000.xn--6frz82g.	3600	in	ns	ce2.xincache.com.
1001.xn--6frz82g.	3600	in	ns	arely.ns.cloudflare.com.
1001.xn--6frz82g.	3600	in	ns	shane.ns.cloudflare.com.
1002.xn--6frz82g.	3600	in	ns	arely.ns.cloudflare.com.
1002.xn--6frz82g.	3600	in	ns	shane.ns.cloudflare.com.
1003.xn--6frz82g.	3600	in	ns	arely.ns.cloudflare.com.
1003.xn--6frz82g.	3600	in	ns	shane.ns.cloudflare.com.
10086.xn--6frz82g.	3600	in	ns	ns11.xincache.com.
10086.xn--6frz82g.	3600	in	ns	ns12.xincache.com.
102juara.xn--6frz82g.	3600	in	ns	ns13.hawkhost.com.
102juara.xn--6frz82g.	3600	in	ns	ns14.hawkhost.com.
12315.xn--6frz82g.	3600	in	ns	alfred.dnspod.net.
12315.xn--6frz82g.	3600	in	ns	linesman.dnspod.net.
12bet.xn--6frz82g.	3600	in	ns	kinsley.ns.cloudflare.com.
12bet.xn--6frz82g.	3600	in	ns	lynn.ns.cloudflare.com.
13585.xn--6frz82g.	3600	in	ns	dns1.registrar-servers.com.
13585.xn--6frz82g.	3600	in	ns	dns2.registrar-servers.com.
135858585.xn--6frz82g.	3600	in	ns	dns1.registrar-servers.com.
135858585.xn--6frz82g.	3600	in	ns	dns2.registrar-servers.com.
139.xn--6frz82g.	3600	in	ns	ns11.xincache.com.
139.xn--6frz82g.	3600	in	ns	ns12.xincache.com.
160.xn--6frz82g.	3600	in	ns	indie.ns.cloudflare.com.
160.xn--6frz82g.	3600	in	ns	miguel.ns.cloudflare.com.
163.xn--6frz82g.	3600	in	ns	ns1.nease.net.
163.xn--6frz82g.	3600	in	ns	ns2.nease.net.
163.xn--6frz82g.	3600	in	ns	ns3.nease.net.
163.xn--6frz82g.	3600	in	ns	ns4.nease.net.
168.xn--6frz82g.	3600	in	ns	f1g1ns1.dnspod.net.
168.xn--6frz82g.	3600	in	ns	f1g1ns2.dnspod.net.
1800flowers.xn--6frz82g.	3600	in	ns	dns1.cscdns.net.
1800flowers.xn--6frz82g.	3600	in	ns	dns2.cscdns.net.
188bet.xn--6frz82g.	3600	in	ns	ariella.ns.cloudflare.com.
188bet.xn--6frz82g.	3600	in	ns	vicky.ns.cloudflare.com.
1935.xn--6frz82g.	3600	in	ns	ns1.gxkjdns.com.
1935.xn--6frz82g.	3600	in	ns	ns2.gxkjdns.com.
199.xn--6frz82g.	3600	in	ns	dns-ch.xinnet.com.
199.xn--6frz82g.	3600	in	ns	dns-ch2.xinnet.com.
1bandar.xn--6frz82g.	3600	in	ns	nia.ns.cloudflare.com.
1bandar.xn--6frz82g.	3600	in	ns	rocky.ns.cloudflare.com.
1lapakspin.xn--6frz82g.	3600	in	ns	ns1.dyna-ns.net.
1lapakspin.xn--6frz82g.	3600	in	ns	ns2.dyna-ns.net.
20four.xn--6frz82g.	3600	in	ns	curitiba.ns.porkbun.com.
20four.xn--6frz82g.	3600	in	ns	fortaleza.ns.porkbun.com.
20four.xn--6frz82g.	3600	in	ns	maceio.ns.porkbun.com.
20four.xn--6frz82g.	3600	in	ns	salvador.ns.porkbun.com.
222.xn--6frz82g.	3600	in	ns	ns1.gxkjdns.com.
222.xn--6frz82g.	3600	in	ns	ns2.gxkjdns.com.
2n334d65013n6ncd5e25u6teb0n32d8n.xn--6frz82g.	3600	in	nsec3	1 1 0 73 4L15SOD7SEONV1S36SJB8CVJKVT27813 NS DS RRSIG
2n334d65013n6ncd5e25u6teb0n32d8n.xn--6frz82g.	3600	in	rrsig	NSEC3 8 2 3600 20260207160646 20260117150646 29109 xn--6frz82g. ZOgnBFlrAqRjL+xNVST7Ti9s48bh9JGv+2mhygKwnLf899xczrOGd5zvXLEiYLD0Oehznre77Wwc5yhUnTvU6nsEwA1n5pwVOYXmmKVF57dDQBZdXfyhLStpSv8D45yHbSRZd3e0s9VDExtJTbUCf71+1Aal2AkwMwTRHdIfOlc=
303.xn--6frz82g.	3600	in	ns	kianchau.ns.cloudflare.com.
303.xn--6frz82g.	3600	in	ns	rosemary.ns.cloudflare.com.
333.xn--6frz82g.	3600	in	ns	ns1.gxkjdns.com.
333.xn--6frz82g.	3600	in	ns	ns2.gxkjdns.com.
361.xn--6frz82g.	3600	in	ns	ns1.gxkjdns.com.
361.xn--6frz82g.	3600	in	ns	ns2.gxkjdns.com.
368bet.xn--6frz82g.	3600	in	ns	dns1.registrar-servers.com.
368bet.xn--6frz82g.	3600	in	ns	dns2.registrar-servers.com.
368live.xn--6frz82g.	3600	in	ns	dns1.registrar-servers.com.
368live.xn--6frz82g.	3600	in	ns	dns2.registrar-servers.com.
368sports.xn--6frz82g.	3600	in	ns	eugene.ns.cloudflare.com.
368sports.xn--6frz82g.	3600	in	ns	suzanne.ns.cloudflare.com.
368tiyu.xn--6frz82g.	3600	in	ns	eugene.ns.cloudflare.com.
368tiyu.xn--6frz82g.	3600	in	ns	suzanne.ns.cloudflare.com.
369.xn--6frz82g.	3600	in	ns	jobs.ns.cloudflare.com.
369.xn--6frz82g.	3600	in	ns	zariyah.ns.cloudflare.com.
420.xn--6frz82g.	3600	in	ns	dns1.registrar-servers.com.
420.xn--6frz82g.	3600	in	ns	dns2.registrar-servers.com.
4l15sod7seonv1s36sjb8cvjkvt27813.xn--6frz82g.	3600	in	nsec3	1 1 0 73 863U4FMLDDHSC43BRC0U39SN5U7SOOBS NS DS RRSIG
4l15sod7seonv1s36sjb8cvjkvt27813.xn--6frz82g.	3600	in	rrsig	NSEC3 8 2 3600 20260207160646 20260117150646 29109 xn--6frz82g. nnZCsYfLEVKfXFJ9a7yMLpUs1AdZHhDuJytvr3/izl+dXYjbMbNpdYLDEP6Tp0oc9Aq3u+xXuQF4saNnlTtog7TcxzKzoY2QGIRXhwGYcTTKNwFd0ue/hS912opbCWzp5vHGQpFRKwexflqf93+fSCbPhZTLGlz0ZSzkljpCUfw=
520.xn--6frz82g.	3600	in	ns	dns1.registrar-servers.com.
520.xn--6frz82g.	3600	in	ns	dns2.registrar-servers.com.
526betevolutions.xn--6frz82g.	3600	in	ns	cesar.ns.cloudflare.com.
526betevolutions.xn--6frz82g.	3600	in	ns	opal.ns.cloudflare.com.
526betpialadunia2022.xn--6frz82g.	3600	in	ns	cesar.ns.cloudflare.com.
526betpialadunia2022.xn--6frz82g.	3600	in	ns	opal.ns.cloudflare.com.
5758.xn--6frz82g.	3600	in	ns	ns1.5758.xn--6frz82g.
5758.xn--6frz82g.	3600	in	ns	ns2.5758.xn--6frz82g.
688.xn--6frz82g.	3600	in	ns	ns1.gxkjdns.com.
688.xn--6frz82g.	3600	in	ns	ns2.gxkjdns.com.
6888.xn--6frz82g.	3600	in	ns	a.ezdnscenter.com.
6888.xn--6frz82g.	3600	in	ns	b.ezdnscenter.com.
68b329da9893e34099c7d8ad5cb9c940.xn--6frz82g.	3600	in	ns	ns1.digitalocean.com.
68b329da9893e34099c7d8ad5cb9c940.xn--6frz82g.	3600	in	ns	ns2.digitalocean.com.
68b329da9893e34099c7d8ad5cb9c940.xn--6frz82g.	3600	in	ns	ns3.digitalocean.com.
6lapakspin.xn--6frz82g.	3600	in	ns	ns1.dyna-ns.net.
6lapakspin.xn--6frz82g.	3600	in	ns	ns2.dyna-ns.net.
7777.xn--6frz82g.	3600	in	ns	f1g1ns1.dnspod.net.
7777.xn--6frz82g.	3600	in	ns	f1g1ns2.dnspod.net.
777jaya.xn--6frz82g.	3600	in	ns	dns101.registrar-servers.com.
777jaya.xn--6frz82g.	3600	in	ns	dns102.registrar-servers.com.
8008205555.xn--6frz82g.	3600	in	ns	ns1.8hy.cn.
8008205555.xn--6frz82g.	3600	in	ns	ns2.8hy.cn.
804.xn--6frz82g.	3600	in	ns	dns101.registrar-servers.com.
804.xn--6frz82g.	3600	in	ns	dns102.registrar-servers.com.
818.xn--6frz82g.	3600	in	ns	1.namedc.com.
818.xn--6frz82g.	3600	in	ns	2.namedc.com.
858585.xn--6frz82g.	3600	in	ns	dns1.registrar-servers.com.
858585.xn--6frz82g.	3600	in	ns	dns2.registrar-servers.com.
863u4fmlddhsc43brc0u39sn5u7soobs.xn--6frz82g.	3600	in	nsec3	1 1 0 73 CP9ALJLCJ4G1UCT37VHB913ENL139EGC NS DS RRSIG
863u4fmlddhsc43brc0u39sn5u7soobs.xn--6frz82g.	3600	in	rrsig	NSEC3 8 2 3600 20260207160646 20260117150646 29109 xn--6frz82g. MyxEKZDTfkjCZL+22Uf8CikJ+Y/fAmeNPHH4guxcRijcnpoBOId0/gNZIXAecutcgKCY7MLyk4ed4PEepZl4G7VlYPfOQeGRCKLVDaan4mcC6B7yZV3daeQtCj5eIxNNItO26ptQwIVz/aebAIOzUDdszkIIdRrGdAVKmX6KYUA=
888.xn--6frz82g.	3600	in	ns	ns1.gxkjdns.com.
888.xn--6frz82g.	3600	in	ns	ns2.gxkjdns.com.
88888.xn--6frz82g.	3600	in	ns	f1g1ns1.dnspod.net.
88888.xn--6frz82g.	3600	in	ns	f1g1ns2.dnspod.net.
88slot.xn--6frz82g.	3600	in	ns	dns1.registrar-servers.com.
88slot.xn--6frz82g.	3600	in	ns	dns2.registrar-servers.com.
88tauri.xn--6frz82g.	3600	in	ns	alan.ns.cloudflare.com.
88tauri.xn--6frz82g.	3600	in	ns	miki.ns.cloudflare.com.
91porn.xn--6frz82g.	3600	in	ns	jeff.ns.cloudflare.com.
91porn.xn--6frz82g.	3600	in	ns	luciane.ns.cloudflare.com.
95555.xn--6frz82g.	3600	in	ns	ns1.8hy.cn.
95555.xn--6frz82g.	3600	in	ns	ns2.8hy.cn.
99jitu.xn--6frz82g.	3600	in	ns	lou.ns.cloudflare.com.
99jitu.xn--6frz82g.	3600	in	ns	yolanda.ns.cloudflare.com.
9x19.xn--6frz82g.	3600	in	ns	dns1.alwaysdata.com.
9x19.xn--6frz82g.	3600	in	ns	dns2.alwaysdata.com.
a0.nic.xn--6frz82g.	3600	in	a	65.22.24.9
a0.nic.xn--6frz82g.	3600	in	aaaa	2a01:8840:001a:0000:0000:0000:0000:0009
a1sbobet365.xn--6frz82g.	3600	in	ns	alan.ns.cloudflare.com.
a1sbobet365.xn--6frz82g.	3600	in	ns	miki.ns.cloudflare.com.
a2.nic.xn--6frz82g.	3600	in	a	65.22.27.9
a2.nic.xn--6frz82g.	3600	in	aaaa	2a01:8840:001d:0000:0000:0000:0000:0009
a99bet.xn--6frz82g.	3600	in	ns	nqnjx.ns1.bolamerah.info.deleted-ns.pw.
a99bet.xn--6frz82g.	3600	in	ns	xsqed.ns2.bolamerah.info.deleted-ns.pw.
abby.xn--6frz82g.	3600	in	ns	damon.ns.cloudflare.com.
abby.xn--6frz82g.	3600	in	ns	simone.ns.cloudflare.com.
abcslot.xn--6frz82g.	3600	in	ns	natasha.ns.cloudflare.com.
abcslot.xn--6frz82g.	3600	in	ns	zeus.ns.cloudflare.com.
add.xn--6frz82g.	3600	in	ns	dns1.registrar-servers.com.
add.xn--6frz82g.	3600	in	ns	dns2.registrar-servers.com.
ade.xn--6frz82g.	3600	in	ns	dns1.registrar-servers.com.
ade.xn--6frz82g.	3600	in	ns	dns2.registrar-servers.com.
adsense.xn--6frz82g.	3600	in	ns	ns1.google.com.
adsense.xn--6frz82g.	3600	in	ns	ns2.google.com.
adsense.xn--6frz82g.	3600	in	ns	ns3.google.com.
adsense.xn--6frz82g.	3600	in	ns	ns4.google.com.
adwords.xn--6frz82g.	3600	in	ns	ns1.googledomains.com.
adwords.xn--6frz82g.	3600	in	ns	ns2.googledomains.com.
adwords.xn--6frz82g.	3600	in	ns	ns3.googledomains.com.
adwords.xn--6frz82g.	3600	in	ns	ns4.googledomains.com.
aeternum.xn--6frz82g.	3600	in	ns	dns1.registrar-servers.com.
aeternum.xn--6frz82g.	3600	in	ns	dns2.registrar-servers.com.
afb365.xn--6frz82g.	3600	in	ns	ben.ns.cloudflare.com.
afb365.xn--6frz82g.	3600	in	ns	mira.ns.cloudflare.com.
afslot.xn--6frz82g.	3600	in	ns	alan.ns.cloudflare.com.
afslot.xn--6frz82g.	3600	in	ns	miki.ns.cloudflare.com.
agen5758.xn--6frz82g.	3600	in	ns	ns1.agen5758.xn--6frz82g.
agen5758.xn--6frz82g.	3600	in	ns	ns2.agen5758.xn--6frz82g.
