xn--fiq64b.	3600	in	soa	a.zdnscloud.com. td_dns_gtld.knet.cn. 1341164390 600 3600 1209600 3600
0069fb0t9rm8k1i5o6ffudvrcqr6vak9.xn--fiq64b.	3600	in	nsec3	1 0 0 - 01MFR75KKVLI2TSN93PAN4ROHK3FMP9L NS
0069fb0t9rm8k1i5o6ffudvrcqr6vak9.xn--fiq64b.	3600	in	rrsig	NSEC3 8 2 3600 20260205213611 20260122200611 15624 xn--fiq64b. ALoRNKgRdBNfSbuzE8AA6NzkSiQQ08w3Im3fdi3Ls7MG8AX7OEiL0EadnvWO49h+VU3Dl+uL54Jjb2ykvwD+kAJbQZeYo7uvlxiYgVmahVMdeXn0ORnICfvkgOMTpfrPevLyOATu/yKiFtoV0O/tQdRMqSiUV1gPSAfY+KlynMM=
01mfr75kkvli2tsn93pan4rohk3fmp9l.xn--fiq64b.	3600	in	nsec3	1 0 0 - 0APC5Q3ULUOIFM4KNISPNDICJA4OT3G8 NS
01mfr75kkvli2tsn93pan4rohk3fmp9l.xn--fiq64b.	3600	in	rrsig	NSEC3 8 2 3600 20260205213611 20260122200611 15624 xn--fiq64b. Pcz5Av8rM2TRSLBlITJR2tUb34ukKwGyajSPa55KgupVhXu2Xha32j+H63ITrRcmkDW4ehxGUkwtPUQMk0tiLLUbLP3lZAGjHPsILiemfImF7b6Ton9X31j4x73N4srvjaXZu6nsqCHCK6jZRSxuyLT4Somxz4idwOpixwA88vo=
0apc5q3uluoifm4knispndicja4ot3g8.xn--fiq64b.	3600	in	nsec3	1 0 0 - 0MDJNA0BGT3MP8QJ221I7HM18D0EVD46 NS
0apc5q3uluoifm4knispndicja4ot3g8.xn--fiq64b.	3600	in	rrsig	NSEC3 8 2 3600 20260205213611 20260122200611 15624 xn--fiq64b. TxygIY6Oq2zbfE+uKwmQI71fw8r7vH31uw5sHCJXsv82aHhyHAUyZ3kqLrqz7LPIeXm7c1UmwrxuTkfsbLgvwQKvgAuv0cIVFIZYe5A2ULPvt6LLjz+3CQnRaOKMKJdO4ld4HRb4BsImpfs9BdiN7fjdeCQw6KCc2sXoxpCWVVc=
0mdjna0bgt3mp8qj221i7hm18d0evd46.xn--fiq64b.	3600	in	nsec3	1 0 0 - 0NO0BFFFKDNSJAC0E70UPCGHO5NN9FOK NS
0mdjna0bgt3mp8qj221i7hm18d0evd46.xn--fiq64b.	3600	in	rrsig	NSEC3 8 2 3600 20260205213611 20260122200611 15624 xn--fiq64b. uZS5MrgbVY2c/uSpKW7gKaFruL07GWiTxT0IhwOVVLomkmF22AcgRgsmSuY40qcXrLtTuHK9wbqTMv2JPK0GP6MUb+OwKxGegTUFDoke/Rf4uLp8OU3nJX/uCdbh316HE1FW8vkgszQLtr2Iy0yq3x94FEcZ/hPPz1YxAR6yNB4=
0no0bfffkdnsjac0e70upcgho5nn9fok.xn--fiq64b.	3600	in	nsec3	1 0 0 - 13340SJ2O79HV54VO3FCG5228393I7MK NS
0no0bfffkdnsjac0e70upcgho5nn9fok.xn--fiq64b.	3600	in	rrsig	NSEC3 8 2 3600 20260205213611 20260122200611 15624 xn--fiq64b. YxmbZLQIsM8nZa971g1qC3r7SzmJlKurCXFK5TY+ExK7WEjCc0wTI7stMIdBYNJbxP3tZc70XI318RwkE7q2XDEuw6BPjObNBWGouM+/cEz6IrFtOhNgkmeRj0FReiZNluDsnFNyPc8LhizAqRNMm1eUjsmWIB20YcdGYIGQNE4=
13340sj2o79hv54vo3fcg5228393i7mk.xn--fiq64b.	3600	in	nsec3	1 0 0 - 164I86DI3U19PJNJMA4PA8HR3RBVSNUR NS
13340sj2o79hv54vo3fcg5228393i7mk.xn--fiq64b.	3600	in	rrsig	NSEC3 8 2 3600 20260205213611 20260122200611 15624 xn--fiq64b. Fg7h8m3ZXO9DH1U892GtHrs5sFePtX2+lRDSCJgI8l+ZoLiEVutaVpbaezORGI3lSYiwmmLvzzIqRpuaj3rh/cYFtLcoKaXChDJstdSK3KG9/b7DibbYH944DQX0N4o9rgB1H/BfrwwDE52WolxBbqCG0kAkx7ydxKcVQn2ZYeA=
164i86di3u19pjnjma4pa8hr3rbvsnur.xn--fiq64b.	3600	in	nsec3	1 0 0 - 1AA6I1H5M5KV2MI4RLAJNHJQ0JCG622Q NS
164i86di3u19pjnjma4pa8hr3rbvsnur.xn--fiq64b.	3600	in	rrsig	NSEC3 8 2 3600 20260205213611 20260122200611 15624 xn--fiq64b. r6sLCEttTqiZ49ePO1Cf0Q9m3eB9OjCprQXmlfcaxZOPYv7WZq58h383nWZGLsynMHUQg2AdeKWqG4fKDgoMg9nSyNKdjhqZI58cQgvgy81nE7avQHNsJ3Eul0Tn8H4hfngji3M5PfhAsQgXA8nauTi+NbXcf9SM6XCusJEqFVM=
1aa6i1h5m5kv2mi4rlajnhjq0jcg622q.xn--fiq64b.	3600	in	nsec3	1 0 0 - 1D7LFKJKV7ITKV31CFMRVCH2VK0KIVMV NS
1aa6i1h5m5kv2mi4rlajnhjq0jcg622q.xn--fiq64b.	3600	in	rrsig	NSEC3 8 2 3600 20260205213611 20260122200611 15624 xn--fiq64b. TgMlLjQn5Lgz4ePU5T7WmvvX+aXTgYMYoH4beYi7d2z3jujSGbS/aATZRoquo1zUKdW3Cqm4/ldVzqdKriQbV0n3dpWqCa/KNhfJc7g+/BW4we5DrJYCWPIu1mGOETUGBjo+jxJ4tbpT/3D9Q1av766W+xA2BivDLM5+pIes6/Q=
1d7lfkjkv7itkv31cfmrvch2vk0kivmv.xn--fiq64b.	3600	in	nsec3	1 0 0 - 1G9UOLAFJ7TS8Q66KPFS6H8UKE5M9L86 NS
1d7lfkjkv7itkv31cfmrvch2vk0kivmv.xn--fiq64b.	3600	in	rrsig	NSEC3 8 2 3600 20260205213611 20260122200611 15624 xn--fiq64b. PfEqdriwug/R3pPDvnt/GGEn6iEdnQ5cJa+76mIYTnGnX76tN9clVZwGv09NdkHCFCByEZ3fpdoPUnvynzoMXG1QMOhzw8f+rrbBOR6a+DHk19o01smO7uLQ+SWhzsEGVq9VYaSk1Rux1vBBzOG8onEYm/lGep+4z+9FQ/f4Tsg=
1g9uolafj7ts8q66kpfs6h8uke5m9l86.xn--fiq64b.	3600	in	nsec3	1 0 0 - 1GCSI4H22TAK17MPJBER4144215OVNUU NS
1g9uolafj7ts8q66kpfs6h8uke5m9l86.xn--fiq64b.	3600	in	rrsig	NSEC3 8 2 3600 20260205213611 20260122200611 15624 xn--fiq64b. LDjIl3UipUVWe5JvuyeJIX7wA5C/HU0kLX3iZPCUiVFZ9dnFUcO91T9HR1YCMbfCbr6vdvg5/AlcEtXcZGv7ADab9yEdrwWJIuC1siLMp7xCQYAxqpkW/GOTd4SHhRR9pPBWZyju8HVNJGxbEb6t13oTdPQ8lOoQoAZUK9XXoZ8=
1gcsi4h22tak17mpjber4144215ovnuu.xn--fiq64b.	3600	in	nsec3	1 0 0 - 1HQB77E5VBAS0PS97FGEDE6037NP0FKR NS
1gcsi4h22tak17mpjber4144215ovnuu.xn--fiq64b.	3600	in	rrsig	NSEC3 8 2 3600 20260205213611 20260122200611 15624 xn--fiq64b. q48c6kIWf1cnflnf9Z7+EBYL2t/+yu8nG0daywHN9920aF0vnonMgTipZM55Cj279oHVsr3pqfNi0/TKUggW5xm7iprS0lFZgADIMelYzanNMvR6qw4zRZQdgL3f82R8LGjqHnHxyCjS+kPIFsndHyOlzRR45CuSFvC4BVNd0IE=
1hqb77e5vbas0ps97fgede6037np0fkr.xn--fiq64b.	3600	in	nsec3	1 0 0 - 1LP6UJQULHNPBJQBERARMHDTM33M6BT7 NS
1hqb77e5vbas0ps97fgede6037np0fkr.xn--fiq64b.	3600	in	rrsig	NSEC3 8 2 3600 20260205213611 20260122200611 15624 xn--fiq64b. P7zyHiI0LS6ZW0q0ZR5054KUs5u7Vla2txXMwrayIXGBmgDV5iQeG0qiu9fs9xSjY4QKH2RmdBDdIhWdF+MiuDYFC/0nqpdg9RgnbU53gc3WWHw5eyCciSOGXPyYNPE8th6e9li98td6mRjRW/juQO2baiAv9X7oVa5j6aEbCSA=
1lp6ujqulhnpbjqberarmhdtm33m6bt7.xn--fiq64b.	3600	in	nsec3	1 0 0 - 1OUQK90NAUQB19SIT81CHH2JBMHH5JFD NS
1lp6ujqulhnpbjqberarmhdtm33m6bt7.xn--fiq64b.	3600	in	rrsig	NSEC3 8 2 3600 20260205213611 20260122200611 15624 xn--fiq64b. f4ZJ9RSt4goTwPO9wLWN4p77O6/iqR9U0JOZjVKRVIyoonhPLCDBk1IgPYQn+YPr8RhysDS+TndsdYljWclkfP7q4BLDtwb/61qApgYZl66JfMdusDFBB9Ca50jxizKmjipp+9anUctx2XA0jlORfm9+XNaWDStGn7iRnka45Cc=
1ouqk90nauqb19sit81chh2jbmhh5jfd.xn--fiq64b.	3600	in	nsec3	1 0 0 - 1T55KTB253DT55OS717DU0R9JI9HNBS5 NS
1ouqk90nauqb19sit81chh2jbmhh5jfd.xn--fiq64b.	3600	in	rrsig	NSEC3 8 2 3600 20260205213611 20260122200611 15624 xn--fiq64b. ch+NTteJaYpUxkI9jR7u7NI8EVMIOp2aKNrE5V1FN8Wmqaa3Fr2DCU/l4iNR2wSpXiKCCvJE2AJLscNbQCA542CqyFVe8TO0yjCw0zFD+cWqC1IOwPR1aV+MRKAWH4jFCdGA0I5IWffdRc08OrCkSPJZnGC2RuuoJEewNb/Dqk4=
1t55ktb253dt55os717du0r9ji9hnbs5.xn--fiq64b.	3600	in	nsec3	1 0 0 - 266IMUIRSI90I24SGSF2R22S2NE5NCV8 NS
1t55ktb253dt55os717du0r9ji9hnbs5.xn--fiq64b.	3600	in	rrsig	NSEC3 8 2 3600 20260205213611 20260122200611 15624 xn--fiq64b. vrDvVRnTVhb/r9PZ8KQRCFfnN1u3iKLph5+s+6THpIlmB9l+16CCgMq23XExqS+box04ucqwB0VWf78v02rbCQCuU33CKcMUiIMRer5V9rpLfNBO/8TbsqCKgGlL+0bDZD8POFostCXUYx6UchyJOevroLcpOz7hr/OZMEoajdY=
266imuirsi90i24sgsf2r22s2ne5ncv8.xn--fiq64b.	3600	in	nsec3	1 0 0 - 2A44HHFF0C6JETGUMOTKE81E37U23PS7 NS
266imuirsi90i24sgsf2r22s2ne5ncv8.xn--fiq64b.	3600	in	rrsig	NSEC3 8 2 3600 20260205213611 20260122200611 15624 xn--fiq64b. F7peb1kJrwA5B5EMAFFfdcr9svv30gk63/hLTY0t5jrU3I9ZSNADMNJ7rAprYnFNm8bi2WzQysBsXn1Y1OWHwA8FgZsCY6jIhAhe/8lsy5CKDwck69GQkaZcE0yRr+t5Lvunit832CYZlhmtClIkiV1WEefbH2uQiXZDbSv/XPE=
