xn--fjq720a.	3600	in	soa	v0n0.nic.xn--fjq720a. hostmaster.donuts.email. 1756257097 7200 900 1209600 3600
001.xn--fjq720a.	3600	in	ns	dns19.hichina.com.
001.xn--fjq720a.	3600	in	ns	dns20.hichina.com.
01.xn--fjq720a.	3600	in	ns	dns13.hichina.com.
01.xn--fjq720a.	3600	in	ns	dns14.hichina.com.
1.xn--fjq720a.	3600	in	ns	ns1.gxkjdns.com.
1.xn--fjq720a.	3600	in	ns	ns2.gxkjdns.com.
10.xn--fjq720a.	3600	in	ns	ns1.netsto.net.
10.xn--fjq720a.	3600	in	ns	ns2.netsto.net.
10a.xn--fjq720a.	3600	in	ns	ns1.netsto.net.
10a.xn--fjq720a.	3600	in	ns	ns2.netsto.net.
10b.xn--fjq720a.	3600	in	ns	ns1.netsto.net.
10b.xn--fjq720a.	3600	in	ns	ns2.netsto.net.
10c.xn--fjq720a.	3600	in	ns	ns1.netsto.net.
10c.xn--fjq720a.	3600	in	ns	ns2.netsto.net.
111.xn--fjq720a.	3600	in	ns	ns1.gxkjdns.com.
111.xn--fjq720a.	3600	in	ns	ns2.gxkjdns.com.
123.xn--fjq720a.	3600	in	ns	henry.dnspod.net.
123.xn--fjq720a.	3600	in	ns	peach.dnspod.net.
1573.xn--fjq720a.	3600	in	ns	ns1.gxkjdns.com.
1573.xn--fjq720a.	3600	in	ns	ns2.gxkjdns.com.
1688.xn--fjq720a.	3600	in	ns	ns1.gxkjdns.com.
1688.xn--fjq720a.	3600	in	ns	ns2.gxkjdns.com.
2.xn--fjq720a.	3600	in	ns	ns1.gxkjdns.com.
2.xn--fjq720a.	3600	in	ns	ns2.gxkjdns.com.
2024.xn--fjq720a.	3600	in	ns	anton.ns.cloudflare.com.
2024.xn--fjq720a.	3600	in	ns	nelci.ns.cloudflare.com.
222.xn--fjq720a.	3600	in	ns	ns1.gxkjdns.com.
222.xn--fjq720a.	3600	in	ns	ns2.gxkjdns.com.
333.xn--fjq720a.	3600	in	ns	ns1.gxkjdns.com.
333.xn--fjq720a.	3600	in	ns	ns2.gxkjdns.com.
3658.xn--fjq720a.	3600	in	ns	ns1-expired.sav.com.
3658.xn--fjq720a.	3600	in	ns	ns2-expired.sav.com.
365800.xn--fjq720a.	3600	in	ns	ns1.dyna-ns.net.
365800.xn--fjq720a.	3600	in	ns	ns2.dyna-ns.net.
365801.xn--fjq720a.	3600	in	ns	ns1.dyna-ns.net.
365801.xn--fjq720a.	3600	in	ns	ns2.dyna-ns.net.
365802.xn--fjq720a.	3600	in	ns	ns1.dyna-ns.net.
365802.xn--fjq720a.	3600	in	ns	ns2.dyna-ns.net.
365803.xn--fjq720a.	3600	in	ns	ns1.dyna-ns.net.
365803.xn--fjq720a.	3600	in	ns	ns2.dyna-ns.net.
365804.xn--fjq720a.	3600	in	ns	ns1.dyna-ns.net.
365804.xn--fjq720a.	3600	in	ns	ns2.dyna-ns.net.
365805.xn--fjq720a.	3600	in	ns	ns1.dyna-ns.net.
365805.xn--fjq720a.	3600	in	ns	ns2.dyna-ns.net.
365806.xn--fjq720a.	3600	in	ns	ns1.dyna-ns.net.
365806.xn--fjq720a.	3600	in	ns	ns2.dyna-ns.net.
365807.xn--fjq720a.	3600	in	ns	ns1.dyna-ns.net.
365807.xn--fjq720a.	3600	in	ns	ns2.dyna-ns.net.
365808.xn--fjq720a.	3600	in	ns	ns1.dyna-ns.net.
365808.xn--fjq720a.	3600	in	ns	ns2.dyna-ns.net.
365809.xn--fjq720a.	3600	in	ns	ns1.dyna-ns.net.
365809.xn--fjq720a.	3600	in	ns	ns2.dyna-ns.net.
5.xn--fjq720a.	3600	in	ns	ns1.gxkjdns.com.
5.xn--fjq720a.	3600	in	ns	ns2.gxkjdns.com.
555.xn--fjq720a.	3600	in	ns	ns1.gxkjdns.com.
555.xn--fjq720a.	3600	in	ns	ns2.gxkjdns.com.
6.xn--fjq720a.	3600	in	ns	ns1.gxkjdns.com.
6.xn--fjq720a.	3600	in	ns	ns2.gxkjdns.com.
66.xn--fjq720a.	3600	in	ns	malavika.ns.cloudflare.com.
66.xn--fjq720a.	3600	in	ns	malcolm.ns.cloudflare.com.
666.xn--fjq720a.	3600	in	ns	jeff.ns.cloudflare.com.
666.xn--fjq720a.	3600	in	ns	magdalena.ns.cloudflare.com.
7.xn--fjq720a.	3600	in	ns	ns1.gxkjdns.com.
7.xn--fjq720a.	3600	in	ns	ns2.gxkjdns.com.
88.xn--fjq720a.	3600	in	ns	ns1.101domain.com.
88.xn--fjq720a.	3600	in	ns	ns2.101domain.com.
88.xn--fjq720a.	3600	in	ns	ns5.101domain.com.
888.xn--fjq720a.	3600	in	ns	ns1.gxkjdns.com.
888.xn--fjq720a.	3600	in	ns	ns2.gxkjdns.com.
891.xn--fjq720a.	3600	in	ns	n1.xundns.com.
891.xn--fjq720a.	3600	in	ns	n2.xundns.com.
89101.xn--fjq720a.	3600	in	ns	ns1.dyna-ns.net.
89101.xn--fjq720a.	3600	in	ns	ns2.dyna-ns.net.
89102.xn--fjq720a.	3600	in	ns	ns1.dyna-ns.net.
89102.xn--fjq720a.	3600	in	ns	ns2.dyna-ns.net.
89103.xn--fjq720a.	3600	in	ns	ns1.dyna-ns.net.
89103.xn--fjq720a.	3600	in	ns	ns2.dyna-ns.net.
9.xn--fjq720a.	3600	in	ns	ns1.gxkjdns.com.
9.xn--fjq720a.	3600	in	ns	ns2.gxkjdns.com.
91.xn--fjq720a.	3600	in	ns	debby.dnspod.net.
91.xn--fjq720a.	3600	in	ns	oyster.dnspod.net.
9123.xn--fjq720a.	3600	in	ns	a.dnspod.com.
9123.xn--fjq720a.	3600	in	ns	b.dnspod.com.
9123.xn--fjq720a.	3600	in	ns	c.dnspod.com.
999.xn--fjq720a.	3600	in	ns	ns1.gxkjdns.com.
999.xn--fjq720a.	3600	in	ns	ns2.gxkjdns.com.
a.xn--fjq720a.	3600	in	ns	expire01.dnspod.net.
a.xn--fjq720a.	3600	in	ns	expire02.dnspod.net.
ai.xn--fjq720a.	3600	in	ns	expirens3.hichina.com.
ai.xn--fjq720a.	3600	in	ns	expirens4.hichina.com.
aicomputer.xn--fjq720a.	3600	in	ns	dns15.hichina.com.
aicomputer.xn--fjq720a.	3600	in	ns	dns16.hichina.com.
amblinentertainment.xn--fjq720a.	3600	in	ns	ns1.markmonitor.com.
amblinentertainment.xn--fjq720a.	3600	in	ns	ns2.markmonitor.com.
amblinentertainment.xn--fjq720a.	3600	in	ns	ns3.markmonitor.com.
amblinentertainment.xn--fjq720a.	3600	in	ns	ns4.markmonitor.com.
amblinentertainment.xn--fjq720a.	3600	in	ns	ns5.markmonitor.com.
amblinentertainment.xn--fjq720a.	3600	in	ns	ns6.markmonitor.com.
amblinentertainment.xn--fjq720a.	3600	in	ns	ns7.markmonitor.com.
amblinpartners.xn--fjq720a.	3600	in	ns	ns1.markmonitor.com.
amblinpartners.xn--fjq720a.	3600	in	ns	ns2.markmonitor.com.
amblinpartners.xn--fjq720a.	3600	in	ns	ns3.markmonitor.com.
amblinpartners.xn--fjq720a.	3600	in	ns	ns4.markmonitor.com.
amblinpartners.xn--fjq720a.	3600	in	ns	ns5.markmonitor.com.
amblinpartners.xn--fjq720a.	3600	in	ns	ns6.markmonitor.com.
amblinpartners.xn--fjq720a.	3600	in	ns	ns7.markmonitor.com.
ar.xn--fjq720a.	3600	in	ns	expirens3.hichina.com.
ar.xn--fjq720a.	3600	in	ns	expirens4.hichina.com.
bitcoin.xn--fjq720a.	3600	in	ns	verification-askeno6mxht93yjytrbgw5.ns101.verify.hn.
bonanza88.xn--fjq720a.	3600	in	ns	amir.ns.cloudflare.com.
bonanza88.xn--fjq720a.	3600	in	ns	cass.ns.cloudflare.com.
cam4.xn--fjq720a.	3600	in	ns	ns1.101domain.com.
cam4.xn--fjq720a.	3600	in	ns	ns2.101domain.com.
cam4.xn--fjq720a.	3600	in	ns	ns5.101domain.com.
chmara.xn--fjq720a.	3600	in	ds	14006 13 2 91CABDD1B2BF4DDCA50146BAA055C9E07F4F689955E016FFF5F83C5627E3A66B
chmara.xn--fjq720a.	3600	in	ns	ns1.aftermarket.pl.
chmara.xn--fjq720a.	3600	in	ns	ns2.aftermarket.pl.
chmara.xn--fjq720a.	3600	in	rrsig	DS 8 2 3600 20250916152200 20250826142200 37326 xn--fjq720a. Hv3R0VM+c36egwSqzZYWbLsoupF59f98FAYCr1sjAFViDgF8Jqd9ncqbcofpRm7sz8lUZmTPLD+TKrnOqvTxKtKAkSf1BMMyJOLrSpO2wWy4XqkvVthCN7ph9xOiJe31zUtyDmtSyKYIEiJTdbP79t2Djr4bUj6aezHz4szLLHc=
com.xn--fjq720a.	3600	in	ns	grape.dnspod.net.
com.xn--fjq720a.	3600	in	ns	narcissus.dnspod.net.
deepseek.xn--fjq720a.	3600	in	ns	dns17.hichina.com.
deepseek.xn--fjq720a.	3600	in	ns	dns18.hichina.com.
devotv.xn--fjq720a.	3600	in	ns	dns1.name-services.com.
devotv.xn--fjq720a.	3600	in	ns	dns2.name-services.com.
devotv.xn--fjq720a.	3600	in	ns	dns3.name-services.com.
devotv.xn--fjq720a.	3600	in	ns	dns4.name-services.com.
devotv.xn--fjq720a.	3600	in	ns	dns5.name-services.com.
donuts.xn--fjq720a.	3600	in	ns	ns1.myhostadmin.net.
donuts.xn--fjq720a.	3600	in	ns	ns2.myhostadmin.net.
douyinjituan.xn--fjq720a.	3600	in	ns	ns.nagor.cn.
douyinjituan.xn--fjq720a.	3600	in	ns	ns.nagor.com.cn.
douyinjituan.xn--fjq720a.	3600	in	ns	ns1.dnsnw.com.
douyinjituan.xn--fjq720a.	3600	in	ns	ns2.dnsnw.com.
ec31eqe91lqua2iktkqsm9a6n0q372n8.xn--fjq720a.	3600	in	nsec3	1 1 0 73 SI09THM8MUI8689MUFR90NUP9GJDNTV6 NS DS RRSIG
ec31eqe91lqua2iktkqsm9a6n0q372n8.xn--fjq720a.	3600	in	rrsig	NSEC3 8 2 3600 20250916152200 20250826142200 37326 xn--fjq720a. bR90rXWQlPYrXcFINzY74644rZMTtOt7dzQVBUBtFo1uKeYRWwlTegW7RCfw9+q8+aKuOlJiK6qunPKgtcyxL1VJKK5ujf+GhGgqX3GT33Bxz71N/gbEj/lL0dSBN6l7MLvsiL+uTiuiuU3zK1rgIeUrzJnWNySj1Zi1xuroNOM=
echo.xn--fjq720a.	3600	in	ns	nsgbr.comlaude.co.uk.
echo.xn--fjq720a.	3600	in	ns	nssui.comlaude.ch.
echo.xn--fjq720a.	3600	in	ns	nsusa.comlaude.net.
eth.xn--fjq720a.	3600	in	ns	ns1.dyna-ns.net.
eth.xn--fjq720a.	3600	in	ns	ns2.dyna-ns.net.
flickr.xn--fjq720a.	3600	in	ns	ns05.gcd-dns.com.
flickr.xn--fjq720a.	3600	in	ns	ns06.gcd-dns.com.
gjdy.xn--fjq720a.	3600	in	ns	ns1.gxkjdns.com.
gjdy.xn--fjq720a.	3600	in	ns	ns2.gxkjdns.com.
