xn--imr513n.	3600	in	soa	a.zdnscloud.com. td_dns_gtld.knet.cn. 1341165195 600 200 2491200 3600
0.xn--imr513n.	3600	in	ns	ns1.wjbrands.com.
0.xn--imr513n.	3600	in	ns	ns2.wjbrands.com.
09fop3fgla861h7atiod0pu410qud0ij.xn--imr513n.	3600	in	nsec3	1 0 0 - 0AKD233S9FUJOL122CTJ9ONV0KQDQ6VU NS
09fop3fgla861h7atiod0pu410qud0ij.xn--imr513n.	3600	in	rrsig	NSEC3 8 2 3600 20260112111238 20251229094238 33120 xn--imr513n. CWkRWtML/dlExXju1i13ks1Hu0aHzALJ4llTqC27cxyed70FSm5/3k30PQ6GJuhTxrH0Fx0gkuiAU4sv1Hs7jrVV/K0o9Mf2JwEFg+hrfS/RVAgGh6F/pLTJRQEfhcEcDROd4o7A3GiR9WF/HN6Vic4ywCxoZAdwzAho3w3gXiA=
0akd233s9fujol122ctj9onv0kqdq6vu.xn--imr513n.	3600	in	nsec3	1 0 0 - 0AMUHBNIR3334GK1N8PQ5E7P9F2BFSH4 NS
0akd233s9fujol122ctj9onv0kqdq6vu.xn--imr513n.	3600	in	rrsig	NSEC3 8 2 3600 20260112111238 20251229094238 33120 xn--imr513n. doIGIz09FXGdNkysEYH149FWYkMpBAP/kJTcYIvAMMZOdPwC0dxLijK61spqFk24Ydv5CnVlKsEh0Kn96SeuYwdo+lmYw0khp96QcI6ZC+RRoYcTORZWdaCi0/IaFxozJHEip7vV8eTPyxfY6xB1To+16cHwT7QZp4tH/wh7gto=
0amuhbnir3334gk1n8pq5e7p9f2bfsh4.xn--imr513n.	3600	in	nsec3	1 0 0 - 0HHP67R2FQJHI6K5OOER6CB8QN5T7DBQ NS
0amuhbnir3334gk1n8pq5e7p9f2bfsh4.xn--imr513n.	3600	in	rrsig	NSEC3 8 2 3600 20260112111238 20251229094238 33120 xn--imr513n. FHuSpymV8yDDBUmdJvjllGoq6S5eSEfpwbnu303NGZn3hQKi2OQOSUTOcxHEi2nzKTA5OaBBgrZgUZs2Yp8HjIhCLG60MbtZUOoAjzv2Fq9K5lt6xBn/hSKXzVtIrM7vTPH0K5aZtv65W0zbc6yr7QVM8i1go6hoWvGglhIh6fI=
0hhp67r2fqjhi6k5ooer6cb8qn5t7dbq.xn--imr513n.	3600	in	nsec3	1 0 0 - 0QU99V5KVSTNKG8E5030TRCFB3E2GR8N NS
0hhp67r2fqjhi6k5ooer6cb8qn5t7dbq.xn--imr513n.	3600	in	rrsig	NSEC3 8 2 3600 20260112111238 20251229094238 33120 xn--imr513n. VF2Y/vJ0KKVBcvp1fCrtiFRLTbQg5hmk1+1nbZXdGrY1XhrkdHfiWMqz8m/fKLJFRc70OPfvIiPDfr56HEaQwKoqiGZybkFdHOaBoFbXYG/2qsgn1zAD+Kuj/yhDhP95Khg5d93rWXVV3XVS2Xzzx8GKmKD0yh9/auCXGY3RHvA=
0qu99v5kvstnkg8e5030trcfb3e2gr8n.xn--imr513n.	3600	in	nsec3	1 0 0 - 17A6GNO3V07PAEV1FHVBDD725DFEJA69 NS
0qu99v5kvstnkg8e5030trcfb3e2gr8n.xn--imr513n.	3600	in	rrsig	NSEC3 8 2 3600 20260112111238 20251229094238 33120 xn--imr513n. J8dD1++jxSan7S7DqiIEV25OapBDgjYmueiFQ/B+13Sl9j8wYWB2urCsE5Wni/ClbqxS3Rs9l0bbcLePX+BAwkwMflrkryf3RpeQ+HOsadnx644hz7so1zC1CUuGDo59oYXchDtUULLK5xnLyWXc442FDf2rk9pGEamII9siRfE=
1.xn--imr513n.	3600	in	ns	ns.nagor.cn.
1.xn--imr513n.	3600	in	ns	ns.nagor.com.cn.
1.xn--imr513n.	3600	in	ns	ns1.dnsnw.com.
1.xn--imr513n.	3600	in	ns	ns2.dnsnw.com.
111.xn--imr513n.	3600	in	ns	ns1.wjbrands.com.
111.xn--imr513n.	3600	in	ns	ns2.wjbrands.com.
1688.xn--imr513n.	3600	in	ns	ns5.myhostadmin.net.
1688.xn--imr513n.	3600	in	ns	ns6.myhostadmin.net.
17a6gno3v07paev1fhvbdd725dfeja69.xn--imr513n.	3600	in	nsec3	1 0 0 - 17K1KBPD27E0HSKHF1PUDF34B5G0U4H5 NS
