xn--ngbc5azd.	900	in	soa	a.nic.xn--ngbc5azd. admin.tldns.godaddy. 1769283556 1800 300 604800 1800
155mrn68vtoqm2hp14urd1u09vltera0.xn--ngbc5azd.	900	in	nsec3	1 1 0 - BIQRRMSIH3M6U6ARQRPTU68V5P9EEL3M NS SOA RRSIG DNSKEY NSEC3PARAM CDS CDNSKEY
155mrn68vtoqm2hp14urd1u09vltera0.xn--ngbc5azd.	900	in	rrsig	NSEC3 8 2 900 20260205112204 20260122111457 6480 xn--ngbc5azd. tSyMzJJwCq2ofGmuh8mYfWEAxw4fpPjoCRr0uZOmqXTSizx0uo5StPtuM2lV6whWavwOWOIF8+hCVde3qklXfUtg0kKlY++OLvArYgzFuTcv9Qx5abXeXi10VxhLLSpV9SXjQvOdC7wMiJij8tjWyF39zCcZpgxGORBw4U2B7G9c+CSnfgnMItRNjsjSx6iO4jvQ69X7kGX4E9561sNh7A==
_forcedupdate.xn--ngbc5azd.	300	in	rrsig	TXT 8 2 300 20260205070745 20260124183916 6480 xn--ngbc5azd. s1MJ/F0PFO4TARVwbWm8wcDWXNUbQtKdpIVfH6zIb2q7D6GqBmfQ60ygWQMmNpxyiqhk+TY6nwQzxNCykiMQh6KbUeWGU0N5fEXAaLreWPdS88NoyfpAmG3ZH8B1yams6a143RAbBYNBQJYW3Bf0s/sLn9ngJ+rs2XppI46tIA6oSph9CqalwL9H6ciJTSLlIPXQyyW5eLhscYeVrGnZ+Q==
_forcedupdate.xn--ngbc5azd.	300	in	txt	"1769283556"
a.nic.xn--ngbc5azd.	172800	in	a	37.209.192.3
a.nic.xn--ngbc5azd.	172800	in	aaaa	2001:0dcd:0001:0000:0000:0000:0000:0003
b.nic.xn--ngbc5azd.	172800	in	a	37.209.194.3
b.nic.xn--ngbc5azd.	172800	in	aaaa	2001:0dcd:0002:0000:0000:0000:0000:0003
biqrrmsih3m6u6arqrptu68v5p9eel3m.xn--ngbc5azd.	900	in	nsec3	1 1 0 - LGHIK0SGRULBP9BRL5LLATOL8C4L060L NS DS RRSIG
biqrrmsih3m6u6arqrptu68v5p9eel3m.xn--ngbc5azd.	900	in	rrsig	NSEC3 8 2 900 20260205112204 20260122111457 6480 xn--ngbc5azd. dlvvTqASw1prUUicYJGLTVibkKHw0dcjzpVWb7v/SPtT3PrkaoXlhGJgHZqP8B0LPl7/HK621LVFqzcaptpr55XpZ9d0MfMlnMiOSZaATRKw6L2i8umjDhlqp1rja5zBP5XXLAUtPJ1cEDib22pMRaoWEHlV8vxSoz+6QYW9qdRNKXgL3WUW3Jqte49DSHCJvZ9pGxyxP3vRJ31WsaXnZA==
c.nic.xn--ngbc5azd.	172800	in	a	37.209.196.3
c.nic.xn--ngbc5azd.	172800	in	aaaa	2001:0dcd:0003:0000:0000:0000:0000:0003
d.nic.xn--ngbc5azd.	172800	in	a	37.209.198.3
d.nic.xn--ngbc5azd.	172800	in	aaaa	2001:0dcd:0004:0000:0000:0000:0000:0003
lghik0sgrulbp9brl5llatol8c4l060l.xn--ngbc5azd.	900	in	nsec3	1 1 0 - TD6BJ0HEKEDNJJDK20BT0TS6KRGEIC3N TXT RRSIG
lghik0sgrulbp9brl5llatol8c4l060l.xn--ngbc5azd.	900	in	rrsig	NSEC3 8 2 900 20260206050804 20260123044450 6480 xn--ngbc5azd. P0cUXpNlJEhKGMg9FP+pua4z/nk1GI5ZthkNf9SqmFIZLoshsJTMeNDWfMV+zpIs8UC38VPUSjUDRy2S+lkJ2m+SD3nYpg5s/kYO382Ql/BTK+Vj4gkP6c/yr/d9Lvn/VHrFRLAUxlwlOPoxLurri9LnYUvEBomLLBjv37qisQxQ7tDZmx73BfpJI2JTZe9ml9zS0oVMCETGiqNYi6oRaQ==
nic.xn--ngbc5azd.	172800	in	ns	a.nic.xn--ngbc5azd.
nic.xn--ngbc5azd.	172800	in	ns	b.nic.xn--ngbc5azd.
nic.xn--ngbc5azd.	172800	in	ns	c.nic.xn--ngbc5azd.
nic.xn--ngbc5azd.	172800	in	ns	x.nic.xn--ngbc5azd.
nic.xn--ngbc5azd.	172800	in	ns	y.nic.xn--ngbc5azd.
nic.xn--ngbc5azd.	172800	in	ns	z.nic.xn--ngbc5azd.
nic.xn--ngbc5azd.	3600	in	ds	51634 8 2 744E5DDC56EF59F7F90EDF5480E478C66423B38571205F6AD06D64F3198923CB
nic.xn--ngbc5azd.	3600	in	rrsig	DS 8 2 3600 20260206220402 20260123220242 6480 xn--ngbc5azd. hgvVAovvknIEoqdN17e3By8/9eYvwXEL9kZpCxLSbiDBB3R4ZR88m39w7AKqLDjcHiLl6gDGnhc2lI1ilc1lCxS9c/BJco83u8RNAt8GbkvMoZhfN9WbmfXY7dC9r338Df4x3af1Zr5EUZk3DOa7GF2HjbNetZrci2+RwP0XkzLbc7hKqFx+NYK66DVjxcSbCG17cgfo82lPVzH4J1BZRg==
td6bj0hekednjjdk20bt0ts6krgeic3n.xn--ngbc5azd.	900	in	nsec3	1 1 0 - 155MRN68VTOQM2HP14URD1U09VLTERA0 NS DS RRSIG
td6bj0hekednjjdk20bt0ts6krgeic3n.xn--ngbc5azd.	900	in	rrsig	NSEC3 8 2 900 20260206050804 20260123044450 6480 xn--ngbc5azd. kgD+lOcwrKjvPivjDk4LvLQxLvFPpuNgETLeNoIXz/EXIaSWrSIK3cTy6SyK9DdxPfsQLFHxj8pGPENctIElnGdID7oaLKm/pw3PRIsEc9Wldh9P/vRIU5S9jTdglt+L7UWokcCDSi7LcCiQ9zgR7japCSf2VL5ehG3MbgiSIVNdAPbH7Dvm7qwQKhA0I2BgrYXkUHGdxztXsLqWObXEwQ==
u.nic.xn--ngbc5azd.	172800	in	a	156.154.169.82
u.nic.xn--ngbc5azd.	172800	in	aaaa	2610:00a1:1071:0000:0000:0000:0001:0082
v.nic.xn--ngbc5azd.	172800	in	a	156.154.170.82
v.nic.xn--ngbc5azd.	172800	in	aaaa	2610:00a1:1072:0000:0000:0000:0001:0082
w.nic.xn--ngbc5azd.	172800	in	a	156.154.171.82
x.nic.xn--ngbc5azd.	172800	in	a	156.154.172.82
x.nic.xn--ngbc5azd.	172800	in	aaaa	2610:00a1:1074:0000:0000:0000:0001:0082
xn------ozeboc3btohf3ojpipgfowzmr0bg.xn--ngbc5azd.	3600	in	ns	ns1jsv.name.com.
xn------ozeboc3btohf3ojpipgfowzmr0bg.xn--ngbc5azd.	3600	in	ns	ns2qvz.name.com.
xn------ozeboc3btohf3ojpipgfowzmr0bg.xn--ngbc5azd.	3600	in	ns	ns3cpr.name.com.
xn------ozeboc3btohf3ojpipgfowzmr0bg.xn--ngbc5azd.	3600	in	ns	ns4sxy.name.com.
xn-----btdaa2az2nabisj9bhe.xn--ngbc5azd.	3600	in	ns	lovisa.ns.cloudflare.com.
xn-----btdaa2az2nabisj9bhe.xn--ngbc5azd.	3600	in	ns	renan.ns.cloudflare.com.
xn-----btdaa3ay2nabiti0cge.xn--ngbc5azd.	3600	in	ns	lovisa.ns.cloudflare.com.
xn-----btdaa3ay2nabiti0cge.xn--ngbc5azd.	3600	in	ns	renan.ns.cloudflare.com.
xn-----btdaaa7a2a2pabjuj3che.xn--ngbc5azd.	3600	in	ns	lovisa.ns.cloudflare.com.
xn-----btdaaa7a2a2pabjuj3che.xn--ngbc5azd.	3600	in	ns	renan.ns.cloudflare.com.
xn-----btdaaa8a1a2pabjvi4cge.xn--ngbc5azd.	3600	in	ns	journey.ns.cloudflare.com.
xn-----btdaaa8a1a2pabjvi4cge.xn--ngbc5azd.	3600	in	ns	remy.ns.cloudflare.com.
xn-----btdabbacdp7b0bzhrf3accct6cwc.xn--ngbc5azd.	3600	in	ns	a.icann-servers.net.
xn-----btdabbacdp7b0bzhrf3accct6cwc.xn--ngbc5azd.	3600	in	ns	b.icann-servers.net.
