xn--t60b56a.	86400	in	soa	ac1.nstld.com. info.verisign-grs.com. 1756216764 1800 900 604800 86400
000170806.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
000170806.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
000197085.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
000197085.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
0003051065.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
0003051065.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
000356355.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
000356355.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
0004060943.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
0004060943.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
000880567.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
000880567.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
0010963.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
0010963.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
0011390002.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
0011390002.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
0019552559.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
0019552559.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
001vr3.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
001vr3.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
002436426.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
002436426.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
00254325355.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
00254325355.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
0026t6.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
0026t6.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
0027301746.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
0027301746.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
0028999242.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
0028999242.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
002fzo.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
002fzo.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
0032346072.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
0032346072.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
0034451.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
0034451.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
00368360.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
00368360.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
0037845383.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
0037845383.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
003943041.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
003943041.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
0043710689.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
0043710689.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
004423265.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
004423265.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
0044563899.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
0044563899.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
0045771569.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
0045771569.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
0048213374.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
0048213374.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
005028396.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
005028396.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
005151303.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
005151303.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
00561806.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
00561806.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
0057742.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
0057742.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
005858672.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
005858672.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
0064659249.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
0064659249.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
0068337.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
0068337.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
006j8g.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
006j8g.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
0074241343.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
0074241343.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
007834097.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
007834097.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
0079707292.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
0079707292.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
00879696.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
00879696.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
008h6at4.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
008h6at4.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
008nlf.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
