yachts.	900	in	soa	ns0.centralnic.net. hostmaster.centralnic.net. 1757549559 900 1800 6048000 3600
00.yachts.	3600	in	ns	curitiba.ns.porkbun.com.
00.yachts.	3600	in	ns	fortaleza.ns.porkbun.com.
00.yachts.	3600	in	ns	maceio.ns.porkbun.com.
00.yachts.	3600	in	ns	salvador.ns.porkbun.com.
000.yachts.	3600	in	ns	jerome.ns.cloudflare.com.
000.yachts.	3600	in	ns	maleah.ns.cloudflare.com.
000dap3.yachts.	3600	in	ns	ns1.alidns.com.
000dap3.yachts.	3600	in	ns	ns2.alidns.com.
000qp9u.yachts.	3600	in	ns	ns1.dnsip.com.
000qp9u.yachts.	3600	in	ns	ns2.dnsip.com.
0020ui.yachts.	3600	in	ns	ns1.dnsip.com.
0020ui.yachts.	3600	in	ns	ns2.dnsip.com.
0043sw.yachts.	3600	in	ns	ns1.alidns.com.
0043sw.yachts.	3600	in	ns	ns2.alidns.com.
00445vy.yachts.	3600	in	ns	ns1.alidns.com.
00445vy.yachts.	3600	in	ns	ns2.alidns.com.
004q7at.yachts.	3600	in	ns	ns1.alidns.com.
004q7at.yachts.	3600	in	ns	ns2.alidns.com.
0066dd.yachts.	3600	in	ns	ns1.alidns.com.
0066dd.yachts.	3600	in	ns	ns2.alidns.com.
007.yachts.	3600	in	ns	curitiba.ns.porkbun.com.
007.yachts.	3600	in	ns	fortaleza.ns.porkbun.com.
007.yachts.	3600	in	ns	maceio.ns.porkbun.com.
007.yachts.	3600	in	ns	salvador.ns.porkbun.com.
007853k.yachts.	3600	in	ns	ns1.dnsip.com.
007853k.yachts.	3600	in	ns	ns2.dnsip.com.
007win.yachts.	3600	in	ns	barbara.ns.cloudflare.com.
007win.yachts.	3600	in	ns	benedict.ns.cloudflare.com.
008.yachts.	3600	in	ns	audrey.ns.cloudflare.com.
008.yachts.	3600	in	ns	casey.ns.cloudflare.com.
00a4ek9.yachts.	3600	in	ns	ns1.dnsip.com.
00a4ek9.yachts.	3600	in	ns	ns2.dnsip.com.
00anks.yachts.	3600	in	ns	ns1.dnsip.com.
00anks.yachts.	3600	in	ns	ns2.dnsip.com.
00axdjm.yachts.	3600	in	ns	ns1.dnsip.com.
00axdjm.yachts.	3600	in	ns	ns2.dnsip.com.
00b3bg.yachts.	3600	in	ns	ns1.dnsip.com.
00b3bg.yachts.	3600	in	ns	ns2.dnsip.com.
00bj84.yachts.	3600	in	ns	ns1.alidns.com.
00bj84.yachts.	3600	in	ns	ns2.alidns.com.
00bjckoc3sbabft898em30u41v2an0q8.yachts.	900	in	nsec3	1 1 0 - 00H3LM5SI88083DIBOT7VEMQAL446J3E NS DS RRSIG
00bjckoc3sbabft898em30u41v2an0q8.yachts.	900	in	rrsig	NSEC3 8 2 900 20250919184048 20250820171048 28239 yachts. uU/yoSUtI6PurLFFH7duIizRH0lDu1WQ3Na9fJoHw7O/yD4j0vHbTiPgiXTIGPbLqUlAzo0KN9nF5TqoPKmnSnWZvzxRgoYIOgGlpfQ8zCDGzcmFqFO2k0bK1bNQ/ui1X2PjCE3s65OF1Ba17sjxO/AWS8989Dvs79pmWbaTIuk=
00bwhjz.yachts.	3600	in	ns	ns1.alidns.com.
00bwhjz.yachts.	3600	in	ns	ns2.alidns.com.
00cpoc.yachts.	3600	in	ns	ns1.alidns.com.
00cpoc.yachts.	3600	in	ns	ns2.alidns.com.
00dzhk.yachts.	3600	in	ns	ns1.alidns.com.
00dzhk.yachts.	3600	in	ns	ns2.alidns.com.
00efma5.yachts.	3600	in	ns	ns1.dnsip.com.
00efma5.yachts.	3600	in	ns	ns2.dnsip.com.
00epuyr.yachts.	3600	in	ns	ns1.alidns.com.
