yokohama.	86400	in	soa	a.gmoregistry.net. noc.gmoregistry.net. 1756257738 1800 900 604800 3600
0011ket14pao2nvpltn731o74mt28tgc.yokohama.	3600	in	nsec3	1 0 0 - 00AEG2I9CEALM35BSGJS1V2VKJDA5L6K NS
0011ket14pao2nvpltn731o74mt28tgc.yokohama.	3600	in	rrsig	NSEC3 8 2 3600 20250901202113 20250826014522 735 yokohama. nk2T1exR7SFSiIjNfrgcxzn7WbN+Jj7igHNPJCoxyETTziCoyLroVWvcZJzTds68P9bOKYNJUnxurXqxeeR8DhAYdzSIO4WbGc7msiBEW9uEeY33yPMv2p1VWf8BO4DirXsp/CTjmgngZqXmn1OAzNmaR3nPN1TvIIh+EVcBbxA=
0045.yokohama.	86400	in	ns	dns1.onamae.com.
0045.yokohama.	86400	in	ns	dns2.onamae.com.
00aeg2i9cealm35bsgjs1v2vkjda5l6k.yokohama.	3600	in	nsec3	1 0 0 - 02FFF8135B4HIVCRSSENE7DAC4L5TGEF NS
00aeg2i9cealm35bsgjs1v2vkjda5l6k.yokohama.	3600	in	rrsig	NSEC3 8 2 3600 20250901235943 20250826014522 735 yokohama. M1j+vlYuapPgyb2pm8KWUZbJneinShzsRQZNy6dPjg2cHJizqD9xrhaN0qvTeu1CelAPOaJnkrDpiNltpcvxPRjUYoQNWh7yv1xi9HmEDG+V+AT5hq7F9PbBBwtore/ROSjmrhgIwhz30WyG5q4iZzjw2erbLUw5eB7YM+0DL04=
0123.yokohama.	86400	in	ns	ns1.xserver.jp.
0123.yokohama.	86400	in	ns	ns2.xserver.jp.
0123.yokohama.	86400	in	ns	ns3.xserver.jp.
0123.yokohama.	86400	in	ns	ns4.xserver.jp.
0123.yokohama.	86400	in	ns	ns5.xserver.jp.
017.yokohama.	86400	in	ns	uns01.lolipop.jp.
017.yokohama.	86400	in	ns	uns02.lolipop.jp.
0296.yokohama.	86400	in	ns	contact-us-at.edoms.biz.
0296.yokohama.	86400	in	ns	domain-may-be-for-sale-at.edoms.biz.
02fff8135b4hivcrssene7dac4l5tgef.yokohama.	3600	in	nsec3	1 0 0 - 02J57EUGAPJTDL57HGS7UVQBUFD9B2JN NS
02fff8135b4hivcrssene7dac4l5tgef.yokohama.	3600	in	rrsig	NSEC3 8 2 3600 20250901201747 20250826014522 735 yokohama. hqBufdM0YGOIB7EOuW2ziWWU3Nb/bOFq6vUCugdAV9/YAVFxBSRG4E3fRV4S79ckL4z53D08UkXnmiqvBA+UweOqq4w+SqIYcNgrDRyRjueF1w7HoxtMDkzADNzGks1JVwCKoE6zgVUar9suX4ebUTiQhgt6lRMAPsBWgUsFwS4=
02j57eugapjtdl57hgs7uvqbufd9b2jn.yokohama.	3600	in	nsec3	1 0 0 - 02NLGKUJSN8O170JKATK48BHCGERN177 NS
02j57eugapjtdl57hgs7uvqbufd9b2jn.yokohama.	3600	in	rrsig	NSEC3 8 2 3600 20250901184220 20250826014522 735 yokohama. RvnouZl/set4EWrKeDQdXQ6aZW6kvjSWOeaxZCc9jaizhz0Tdo79EW4kMlHQbLpO+lJnuowmBIKFMLXa9O4PlUEBLPs+PHVdlBicv2vcDmYhVj+QFt9fj2g+hu6yajz4FvdooWDBQjQYj6Hgtij/8Kidvjw1nTx3tCEHvwybsLA=
02nlgkujsn8o170jkatk48bhcgern177.yokohama.	3600	in	nsec3	1 0 0 - 034NO855GO0IQ21Q2CEKGENA8JRT9L1D NS
02nlgkujsn8o170jkatk48bhcgern177.yokohama.	3600	in	rrsig	NSEC3 8 2 3600 20250901200510 20250826014522 735 yokohama. L9ZajZKu8AlLA262gNUCumBxWcLeXFt64WLNHVi7Cb0tsYhz25IXP/UqXStnhjr808SPpAf1WVFEYb/aq9uB7TPyz5UNIec0uWJE7hve3CL0zylhsyXbkHKSMcbeLAazw4fNNqVul8nNlTXE8Jnwrubv/+5QaWOOwvDXqL30DxQ=
034no855go0iq21q2cekgena8jrt9l1d.yokohama.	3600	in	nsec3	1 0 0 - 03IT454VDA30VOUQH9O3T7ANQSJTKORT NS
034no855go0iq21q2cekgena8jrt9l1d.yokohama.	3600	in	rrsig	NSEC3 8 2 3600 20250902014650 20250826014522 735 yokohama. T4qGSUImML9jigjBW7nwc/qhIbQpHLgWtYvH8dGeo5Le2rEENrsPplmVvH7DHcbQCLcooxohpIl5aHupsC7gj/owqFH9HKYs16S5GlX5c5ZeRYSkTtHiRCIDSuyv1EzrXdGnjK1cc27/g53BkwIMhWW9Y0NAFhA1Sjv+qZDB+cc=
03it454vda30vouqh9o3t7anqsjtkort.yokohama.	3600	in	nsec3	1 0 0 - 04JKM5LDSUHBF80GGH33FDQQLTO5OQ4U NS
03it454vda30vouqh9o3t7anqsjtkort.yokohama.	3600	in	rrsig	NSEC3 8 2 3600 20250901180011 20250826014522 735 yokohama. o1MUn8MBB62VSNcZW2DWWZaSpzR88zHOFLZFHg3YqhOFhkzh6buLC+Fu7hdnd2T5BiCtlpD0BSUBMdoE+yhmO3YKoPAnic9LXt8mwl2qpim6QjwLT495C46A5AytGx5iHTTUWsHfjjIDjMb2Lc9/8j8nq4u+K1hT4i05DpTJTcc=
045.yokohama.	86400	in	ns	dns1.onamae.com.
045.yokohama.	86400	in	ns	dns2.onamae.com.
045pro.yokohama.	86400	in	ns	ns1.value-domain.com.
045pro.yokohama.	86400	in	ns	ns2.value-domain.com.
045syndicate.yokohama.	86400	in	ns	ns0.wixdns.net.
045syndicate.yokohama.	86400	in	ns	ns1.wixdns.net.
04jkm5ldsuhbf80ggh33fdqqlto5oq4u.yokohama.	3600	in	nsec3	1 0 0 - 05928TTQM42UUQT4NCS0QU1PGL3FAT52 NS
04jkm5ldsuhbf80ggh33fdqqlto5oq4u.yokohama.	3600	in	rrsig	NSEC3 8 2 3600 20250901182956 20250826014522 735 yokohama. f76qUtRvTdJthOkhTogAtKdsANhzqVgmL/gEhfkkBtvvis/kESRLMFx/EYypbJQ2UYTHjrWKlVc7rSIOnclvDGuLB/rGwxWFV4vcogO4H2cIWj3uiNP2n10E1A3SgyhUPqDsjTVE2PvvJhI5zaMZ7VvPxKSUQKoN4crvGex11Sw=
05928ttqm42uuqt4ncs0qu1pgl3fat52.yokohama.	3600	in	nsec3	1 0 0 - 05OG0NF39ASTFT317755TO7E3T5TAPGV NS
